State,City,Population,Crime Index total,Modified Crime Index total1,Murder      and non-negligent         man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson,,,,,,,
,Surprise,"19,399",893,898,1,             -,14,75,231,530,42,5,,,,,,,
,Tempe,"180,107","15,208","15,246",13,80,297,588,"2,224","9,711","2,295",38,,,,,,,
,Tucson,"500,992","44,525","44,847",60,355,"1,444","2,683","6,721","27,349","5,913",322,,,,,,,
,Winslow,"11,608",706,741,               -,3,5,47,61,581,9,35,,,,,,,
ARKANSAS,Arkadelphia,"10,678",226,,               -,4,              -,1,21,187,13,,,,,,,,
,Benton,"24,389","1,477",,               -,10,11,77,160,"1,113",106,,,,,,,,
,Bentonville,"22,384",997,,               -,11,1,24,303,653,5,,,,,,,,
,Blytheville,"19,826","2,047",,5,13,58,185,468,"1,236",82,,,,,,,,
,Bryant,"10,135",152,,               -,1,              -,                   -,5,135,11,,,,,,,,
,Cabot,"16,731",587,,               -,2,5,54,64,434,28,,,,,,,,
,Camden,"13,742",746,,               -,8,23,56,103,523,33,,,,,,,,
,Conway,"44,440","2,222",,1,27,7,45,187,"1,897",58,,,,,,,,
,El Dorado,"22,575","1,609",,4,10,40,245,414,805,91,,,,,,,,
,Fayetteville,"60,945","2,893",,6,35,37,123,347,"2,215",130,,,,,,,,
,Forrest City,"13,745","1,501",,2,6,40,246,211,953,43,,,,,,,,
,Fort Smith,"78,532","7,174",,2,61,100,438,"1,173","4,847",553,,,,,,,,
,Harrison,"12,261",439,,               -,6,2,15,44,360,12,,,,,,,,
,Hope,"10,408",590,,1,9,5,55,172,314,34,,,,,,,,
,Hot Springs,"40,633","4,068",,3,26,60,272,795,"2,781",131,,,,,,,,
,Jacksonville,"30,054","1,557",,3,12,35,124,252,"1,069",62,,,,,,,,
,Jonesboro,"55,072","3,122",,1,27,70,94,558,"2,194",178,,,,,,,,
,Little Rock,"184,560","17,551","17,658",31,132,536,"1,188","3,252","11,116","1,296",107,,,,,,,
,Magnolia,"11,243",695,,               -,4,21,91,130,414,35,,,,,,,,
,Malvern,"10,163",629,,2,6,14,63,127,386,31,,,,,,,,
,Mountain Home,"10,690",382,,               -,1,              -,31,24,311,15,,,,,,,,
,North Little Rock,"62,391","5,655",,8,33,136,265,825,"3,798",590,,,,,,,,
,Paragould,"23,378",664,,               -,2,5,                   -,100,488,69,,,,,,,,
,Pine Bluff,"54,748","6,301","6,367",14,64,263,821,"1,636","3,170",333,66,,,,,,,
,Rogers,"41,002","1,450",,1,15,12,51,109,"1,215",47,,,,,,,,
,Russellville,"26,705","1,550",,               -,21,12,52,210,"1,176",79,,,,,,,,
,Searcy,"19,755","1,166",,               -,1,8,144,91,884,38,,,,,,,,
,Sherwood,"22,537","1,234",,               -,5,6,53,80,995,95,,,,,,,,
,Siloam Springs,"11,988",563,,2,2,1,17,82,439,20,,,,,,,,
,Springdale,"44,364","1,624",,               -,18,15,73,266,"1,146",106,,,,,,,,
,Stuttgart,"10,194",459,,2,             -,6,40,89,311,11,,,,,,,,
,Texarkana,"25,163","1,963",,1,21,51,143,232,"1,438",77,,,,,,,,
,Van Buren,"21,134",813,,1,3,2,29,121,622,35,,,,,,,,
,West Memphis,"28,180","1,585",,6,23,111,182,369,695,199,,,,,,,,
CALIFORNIA,Adelanto,"16,749",368,370,2,4,14,99,131,65,53,2,,,,,,,
,Agoura Hills,"21,554",296,302,               -,2,10,24,96,150,14,6,,,,,,,
,Alameda,"77,210","2,835","2,868",1,9,110,182,362,"1,842",329,33,,,,,,,
,Albany,"17,459",665,667,               -,3,38,47,110,381,86,2,,,,,,,
,Alhambra,"86,757","2,120","2,139",4,9,144,96,337,"1,116",414,19,,,,,,,
,Anaheim,"307,240","9,909","9,974",11,84,428,890,"1,570","5,374","1,552",65,,,,,,,
,Antioch,"85,882","2,806","2,827",3,15,131,377,515,"1,276",489,21,,,,,,,
,Apple Valley,"59,336","1,911","1,921",5,11,40,130,613,868,244,10,,,,,,,
,Arcadia,"52,346","1,500","1,506",               -,2,58,79,248,996,117,6,,,,,,,
,Arcata,"16,626",740,750,               -,4,8,16,136,554,22,10,,,,,,,
,Arroyo Grande,"15,974",404,405,               -,4,3,10,73,299,15,1,,,,,,,
,Artesia,"16,443",467,471,               -,4,58,53,89,181,82,4,,,,,,,
,Arvin,"11,916",469,486,1,1,11,62,110,222,62,17,,,,,,,
,Atascadero,"25,380",771,783,               -,5,7,122,193,404,40,12,,,,,,,
,Atwater,"25,474",891,899,               -,3,17,139,302,377,53,8,,,,,,,
,Auburn,"12,732",379,381,               -,8,6,26,59,254,26,2,,,,,,,
,Avenal,"11,959",130,133,1,2,4,24,54,36,9,3,,,,,,,
,Azusa,"43,549","1,213","1,226",2,13,48,82,261,605,202,13,,,,,,,
,Bakersfield,"227,226","10,279","10,414",23,25,283,385,"2,304","6,104","1,155",135,,,,,,,
,Baldwin Park,"74,381","1,725","1,742",7,16,125,154,328,611,484,17,,,,,,,
,Banning,"28,257",907,907,1,6,31,220,355,202,92,           -,, ,,,,,
,Barstow,"24,503","1,093","1,117",2,9,44,116,285,524,113,24,,,,,,,
,Beaumont,"11,997",684,684,1,2,13,154,134,313,67,           -,,,,,,,
,Bell,"36,105",891,894,4,8,80,167,235,167,230,3,,,,,,,
,Bellflower,"65,647","2,482","2,511",5,14,181,236,499,"1,056",491,29,,,,,,,
,Bell Gardens,"45,683","1,215","1,224",3,5,135,234,222,380,236,9,,,,,,,
,Belmont,"26,538",480,481,               -,5,13,63,129,229,41,1,,,,,,,
,Benicia,"27,833",538,546,               -,6,14,31,129,288,70,8,,,,,,,
,Berkeley,"110,693","7,688","7,731",4,41,332,377,"1,124","4,889",921,43,,,,,,,
,Beverly Hills,"33,369","1,530","1,531",1,7,66,49,302,"1,012",93,1,,,,,,,
,Blythe,"21,572",870,901,               -,2,17,147,198,484,22,31,,,,,,,
,Brawley,"23,581",768,778,1,             -,29,68,179,418,73,10,,,,,,,
,Brea,"36,869","1,454","1,459",               -,9,28,119,279,881,138,5,,,,,,,
,Brentwood,"20,463",605,616,               -,4,9,36,106,404,46,11,,,,,,,
,Buena Park,"76,052","2,028","2,038",               -,14,124,148,326,985,431,10,,,,,,,
,Burbank,"101,210","3,172","3,175",1,8,86,202,420,"1,902",553,3,,,,,,,
,Burlingame,"28,660",914,914,               -,8,23,33,149,585,116,           -,,,,,,,
,Calabasas,"18,844",268,271,               -,3,5,26,62,149,23,3,,,,,,,
,Calexico,"28,550","1,174","1,177",               -,3,31,31,333,401,375,3,,,,,,,
,Camarillo,"62,287","1,165","1,171",               -,11,20,53,188,848,45,6,,,,,,,
,Campbell,"39,052","1,024","1,033",               -,8,20,68,127,745,56,9,,,,,,,
,Canyon Lake,"10,686",217,218,               -,2,2,22,45,124,22,1,,,,,,,
,Capitola,"10,787",673,676,               -,2,11,49,75,519,17,3,,,,,,,
,Carlsbad,"78,884","2,055","2,062",1,5,44,129,401,"1,251",224,7,,,,,,,
,Carpinteria,"14,493",220,220,1,5,5,22,54,123,10,           -,,,,,,,
,Carson,"91,042","3,398","3,435",17,22,179,616,552,"1,385",627,37,,,,,,,
,Cathedral City,"40,027","1,790","1,790",2,6,50,208,386,780,358,           -,,,,,,,
,Ceres,"34,086","2,265","2,269",               -,10,28,141,312,"1,506",268,4,,,,,,,
,Cerritos,"55,517","2,354","2,370",2,6,119,76,348,"1,331",472,16,,,,,,,
,Chico,"53,048","2,070","2,153",1,35,62,94,432,"1,210",236,83,,,,,,,
,Chino,"67,588","2,043","2,079",               -,13,69,177,310,"1,118",356,36,,,,,,,
,Chino Hills,"60,365","1,016","1,019",2,3,28,46,248,581,108,3,,,,,,,
,Chowchilla,"14,654",367,374,               -,4,5,30,89,215,24,7,,,,,,,
,Chula Vista,"168,529","7,048","7,072",3,48,261,534,"1,051","3,588","1,563",24,, ,,,,,
,Claremont,"35,513","1,027","1,035",               -,4,32,28,232,686,45,8,,,,,,,
,Clayton,"12,386",144,144,               -,             -,1,1,49,83,10,           -,,,,,,,
,Clearlake,"13,258",648,659,               -,8,18,68,226,298,30,11,,,,,,,
,Clovis,"67,178","2,987","3,015",               -,21,27,48,583,"1,973",335,28,,,,,,,
,Coachella,"23,801",908,910,4,5,33,171,215,351,129,2,,,,,,,
,Coalinga,"10,005",415,418,               -,5,8,24,64,289,25,3,,,,,,,
,Colton,"45,391","1,867","1,884",6,18,74,109,360,917,383,17,,,,, ,,
,Commerce,"13,518","1,336","1,354",2,4,64,88,178,588,412,18,,,,,,,
,Compton,"94,900","4,938","4,973",45,38,544,898,"1,098","1,444",871,35,,,,,,,
,Concord,"120,475","4,949","4,964",4,33,119,316,695,"3,034",748,15,,,,,,,
,Corcoran,"21,076",248,251,               -,3,4,29,72,111,29,3,,,,,,,
,Corona,"122,215","3,612","3,635",6,35,123,162,700,"2,009",577,23,,,,,,,
,Coronado,"28,785",430,433,               -,3,3,17,116,244,47,3,,,,,,,
,Costa Mesa,"106,141","3,462","3,472",2,22,72,179,437,"2,266",484,10,,,,,,,
,Covina,"45,785","2,188","2,192",               -,6,104,160,351,"1,308",259,4,,,,,,,
,Cudahy,"24,378",606,609,4,5,39,130,76,219,133,3,,,,,,,
,Culver City,"41,017","1,584","1,585",3,3,114,44,201,988,231,1,,, ,,,,
,Cupertino,"46,849","1,164","1,169",1,14,24,65,212,805,43,5,,,,,,,
,Cypress,"49,389","1,012","1,018",               -,9,30,69,213,560,131,6,,,,,,,
,Daly City,"101,381","2,128","2,140",1,24,115,188,158,"1,274",368,12,,,,,,,
,Dana Point,"35,348",707,710,               -,7,17,45,116,485,37,3,,,,,,,
,Danville,"42,023",575,576,               -,5,9,32,101,396,32,1,,,,,,,
,Davis,"57,571","1,808","1,835",1,15,18,220,152,"1,293",109,27,, ,,,,,
,Delano,"35,854","1,615","1,777",2,9,35,49,239,"1,036",245,162,,,,,,,
,Desert Hot Springs,"15,437","1,337","1,337",1,26,45,182,488,494,101,           -,,,,,,,
,Diamond Bar,"56,182",893,899,               -,4,32,82,183,438,154,6,,,,,,,
,Dinuba,"15,652","1,032","1,041",               -,3,27,123,330,466,83,9,,,,,,,
,Dixon,"15,328",390,394,               -,2,10,52,45,245,36,4,,,,,,,
,Downey,"96,530","3,079","3,112",4,11,177,148,499,"1,430",810,33,,,,,,,
,Duarte,"22,704",580,584,               -,8,31,69,107,285,80,4,,,,,,,
,Dublin,"31,604",641,645,1,3,8,81,74,396,78,4,,,,,,,
,East Palo Alto,"25,452","1,289","1,289",6,25,99,157,359,428,215,           -,,,,,,,
,El Cajon,"96,651","3,817","3,837",2,43,125,456,723,"1,786",682,20,,,,,,,
,El Centro,"40,318","2,095","2,102",1,4,50,303,633,922,182,7,,,,,,,
,El Cerrito,"24,576","1,201","1,208",               -,5,75,38,169,685,229,7,,,,,,,
,El Monte,"115,359","3,668","3,687",6,32,331,701,492,"1,395",711,19,,,,,,,
,El Segundo,"16,576",771,771,1,4,19,21,162,469,95,           -,,,,,,,
,Encinitas,"62,606","1,366","1,372",               -,7,31,136,273,765,154,6,,,,,,,
,Escondido,"125,230","5,099","5,125",5,35,144,485,750,"2,878",802,26,,,,,,,
,Eureka,"25,637","2,162","2,188",1,26,45,74,443,"1,388",185,26,,,,,,,
,Fairfield,"94,278","4,287","4,323",3,32,151,355,598,"2,730",418,36,,,,,,,
,Fillmore,"13,717",319,324,               -,4,7,49,40,200,19,5,,,,,,,
,Folsom,"48,998","1,211","1,224",               -,14,15,35,447,605,95,13,,,,,,,
,Fontana,"117,400","4,067","4,100",13,52,263,571,873,"1,282","1,013",33,,,,,,,
,Foster City,"31,027",490,496,               -,2,14,10,73,367,24,6,,,,,,,
,Fountain Valley,"58,530","1,646","1,659",1,6,51,88,252,"1,070",178,13,,,,,,,
,Fremont,"213,193","5,309","5,354",3,27,108,249,"1,025","3,415",482,45,,,,,,,
,Fresno,"413,000","32,868","33,332",24,161,"1,304","2,354","4,514","18,732","5,779",464,,,,,,,
,Fullerton,"125,944","4,098","4,120",3,20,126,163,653,"2,655",478,22,,,,,,,
,Galt,"17,814",554,564,1,4,7,46,115,316,65,10,,,,,,,
,Gardena,"56,588","2,675","2,678",3,14,376,268,541,989,484,3,,,,,,,
,Garden Grove,"156,899","5,140","5,178",4,45,255,422,728,"2,895",791,38,,,,,,,
,Gilroy,"39,313","1,676","1,689",6,18,36,244,261,"1,000",111,13,,,,,,,
,Glendale,"191,000","4,909","4,948",6,20,182,518,896,"2,480",807,39,,,,,,,
,Glendora,"51,463",993,"1,001",2,5,28,51,140,671,96,8,,,,,,,
,Grand Terrace,"12,857",290,290,               -,2,6,6,81,138,57,           -,,,,,,,
,Grass Valley,"10,290",403,405,               -,1,3,24,52,268,55,2,,,,,,,
,Greenfield,"10,733",304,306,2,1,27,44,73,137,20,2,,,,,,,
,Grover Beach,"12,707",322,323,               -,4,4,20,68,206,20,1,,,,,,,
,Half Moon Bay,"11,140",260,263,               -,             -,3,40,83,122,12,3,,,,,,,
,Hanford,"38,648","1,791","1,800",1,10,33,108,300,"1,180",159,9,,,,,,,
,Hawaiian Gardens,"14,241",513,521,4,1,55,90,93,188,82,8,,,,,,,
,Hawthorne,"75,813","3,739","3,756",8,22,346,896,596,"1,272",599,17,,,,,,,
,Hayward,"133,926","5,667","5,711",9,55,215,495,664,"3,018","1,211",44,,,,,,,
,Healdsburg,"10,847",315,320,               -,             -,6,22,102,169,16,5,,,,,,,
