State,City,Population,Crime Index total,Modified Crime Index total1,Murder      and non-negligent         man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson,,,,,,,
,Americus,"18,729","1,402","1,411",8,13,44,92,202,989,54,9,,,,,,,
,Athens-Clarke County,"94,238","6,797",,5,37,157,221,"1,083","4,931",363,,,,,,,,
,Atlanta,"422,266","55,468","55,664",134,278,"4,322","6,849","9,256","27,278","7,351",196,,,,,,,
,Brunswick,"18,188","2,317",,               -,19,79,207,342,"1,574",96,,,,,,,,
,Carrollton,"18,285",,,4,11,22,135,,"1,125",57,           -,,,,,,,
,Columbus,"190,830","11,880","11,884",19,24,439,590,"1,771","7,982","1,055",4,,,,,,,
,Cordele,"11,339","1,359","1,366",2,6,28,138,154,982,49,7,,,,,,,
,Covington,"10,610",942,942,1,2,28,40,129,689,53,           -,,,,,,,
,Dalton,"25,278","2,042",,3,17,40,99,237,"1,519",127,,,,,,,,
,Decatur,"18,129",830,831,               -,2,31,31,163,510,93,1,,,,,,,
,Douglas,"12,097","1,812",,1,7,14,160,260,"1,282",88,,,,,,,,
,Dublin,"18,366","1,296","1,296",1,7,38,74,202,914,60,           -,,,,,,,
,Duluth,"18,817",327,,               -,4,8,10,69,205,31,,,,,,,,
,Forest Park,"18,398","2,142",,6,7,112,110,357,"1,294",256,,,,,,,,
,Gainesville,"21,517","2,577","2,586",3,16,57,146,196,"2,018",141,9,,,,,,,
,Garden City,"10,795",856,863,               -,6,24,156,149,423,98,7,,,,,,,
,Griffin,"22,652","2,584",,3,9,51,216,420,"1,724",161,,,,,,,,
,Hinesville,"28,310","2,098",,4,19,48,135,389,"1,407",96,,,,,,,,
,Kennesaw,"19,271",325,,1,1,2,13,46,219,43,,,,,,,,
,Kingsland,"12,244",551,,               -,2,15,58,78,384,14,,,,,,,,
,LaGrange,"26,250","1,974",,               -,10,48,64,259,"1,536",57,,,,,,,,
,Lawrenceville,"21,471","1,054",,               -,6,22,35,163,754,74,,,,,,,,
,Macon,"119,131","11,382","11,439",15,74,334,418,"2,288","6,976","1,277",57,,,,,,,
,Marietta,"53,665","3,264","3,298",3,20,159,140,510,"2,036",396,34,,,,,,,
,Milledgeville,"18,956",939,,3,6,27,59,128,695,21,,,,,,,,
,Moultrie,"16,512","1,511",,2,5,72,152,256,938,86,,,,,,,,
,Newnan,"15,609","1,242","1,244",1,5,25,65,170,893,83,2,,,,,,,
,Peachtree City,"33,974",281,282,               -,1,3,7,16,196,58,1,,,,,,,
,Perry,"10,412",260,,1,             -,3,20,26,193,17,,,,,,,,
,Powder Springs,"11,830",338,338,1,             -,7,9,74,227,20,           -,,,,,,,
,Riverdale,"11,456","1,185",,1,8,33,113,136,788,106,,,,,,,,
,Rome,"34,348","3,532",,3,9,68,553,467,"2,307",125,,,,,,,,
,Savannah,"136,180","11,093","11,132",31,84,796,504,"1,793","5,934","1,951",39,,,,,,,
,Smyrna,"39,612","2,548",,1,6,91,74,384,"1,718",274,,,,,,,,
,Statesboro,"22,927","1,149","1,149",               -,4,22,15,196,874,38,           -,,,,,,,
,St. Marys,"14,876",538,541,1,3,8,27,68,417,14,3,,,,,,,
,Thomasville,"18,710","1,759","1,763",3,12,39,45,371,"1,217",72,4,,,,,,,
,Tifton,"14,957","1,492",,3,8,48,72,222,"1,099",40,,,,,,,,
,Union City,"10,698","1,060","1,060",1,5,31,96,128,623,176,           -,,,,,,,
,Vidalia,"12,384",799,804,2,1,18,65,119,538,56,5,,,,,,,
,Warner Robins,"51,922","3,365","3,378",2,28,76,163,647,"2,254",195,13,,,,,,,
,Waycross,"16,609","1,465",,2,9,52,62,174,"1,099",67,,,,,,,,
HAWAII,Honolulu,"883,621","46,659","46,983",20,240,984,"1,058","6,946","32,197","5,214",324,,,,,,,
IDAHO,Blackfoot,"10,920",451,452,2,6,1,29,44,354,15,1,,,,,,,
,Boise,"174,054","8,335","8,401",1,68,62,522,"1,349","5,946",387,66,,,,,,,
,Caldwell,"24,162","1,538","1,548",1,13,9,112,224,"1,075",104,10,,,,,,,
,Coeur d'Alene,"34,795","2,399","2,416",               -,18,24,172,329,"1,763",93,17,,,,,,,
,Garden City,"10,660",628,636,               -,4,2,32,105,440,45,8,,,,,,,
,Idaho Falls,"50,268","2,297","2,314",               -,20,10,102,306,"1,756",103,17,,,,,,,
,Lewiston,"31,630","1,299","1,309",               -,6,12,37,233,958,53,10,,,,,,,
,Meridian,"28,625","1,288","1,307",               -,5,3,20,401,815,44,19,,,,,,,
,Moscow,"20,577",606,614,               -,9,3,6,85,486,17,8,,,,,,,
,Mountain Home,"11,106",553,556,               -,5,5,50,100,360,33,3,,,,,,,
,Nampa,"47,682","2,779","2,787",               -,27,12,163,397,"2,046",134,8,,,,,,,
,Pocatello,"54,563","1,845","1,858",1,6,12,104,248,"1,407",67,13,,,,,,,
,Post Falls,"17,462",552,556,               -,8,1,39,77,400,27,4,,,,,,,
,Rexburg,"16,631",340,340,               -,3,2,5,26,291,13,           -,,,,,,,
,Twin Falls,"35,474","2,200","2,221",               -,13,21,128,424,"1,518",96,21,,,,,,,
ILLINOIS,Aurora,"132,474",,,15,,185,586,"1,139","3,557",460,39,,,,,,,
,Chicago,"2,866,191",,,628,,"19,449","26,660","28,401","105,728","35,570","1,106",,,,,,,
,Naperville,"125,943",,,               -,,15,68,276,"1,823",100,13,,,,,,,
,Peoria,"113,793",,,9,,359,552,"2,051","6,403",880,92,,,,,,,
,Rockford,"147,281",,,11,,505,695,"2,458","7,879",869,43,,,,,,,
,Springfield,"120,703",,,6,,293,823,"1,843","5,145",284,53,,,,,,,
INDIANA,Bedford,"15,329",623,631,               -,2,3,12,86,485,35,8,,,,,,,
,Beech Grove,"13,581",473,477,3,2,13,7,117,288,43,4,,,,,,,
,Bloomington,"68,288","2,728","2,743",               -,31,31,60,385,"2,076",145,15,,,,,,,
,Carmel,"47,345",754,756,               -,6,1,4,100,612,31,2,,,,,,,
,Chesterton,"10,552",302,305,               -,             -,              -,17,31,240,14,3,,,,,,,
,Clarksville,"20,742","2,221","2,221",               -,5,30,13,149,"1,842",182,           -,,,,,,,
,Columbus,"38,059","2,491","2,498",               -,6,13,53,283,"2,034",102,7,,,,,,,
,Connersville,"15,849",866,866,               -,2,              -,13,102,718,31,           -,,,,,,,
,Crawfordsville,"15,193",877,877,               -,1,3,8,146,702,17,           -,,,,,,,
,Crown Point,"20,569",312,313,               -,1,2,5,42,226,36,1,,,,,,,
,Dyer,"14,004",327,328,               -,             -,7,14,28,255,23,1,,,,,,,
,Elkhart,"44,339","5,069","5,108",4,31,201,49,915,"3,447",422,39,,,,,,,
,Evansville,"124,685","6,215","6,267",9,50,120,444,"1,072","4,126",394,52,,,,,,,
,Fishers,"31,030",664,,               -,5,6,27,88,518,20,,,,,,,,
,Fort Wayne,"201,262","12,115","12,213",20,90,420,290,"1,819","8,220","1,256",98,,,,,,,
,Frankfort,"16,055",753,753,               -,4,1,25,101,596,26,           -,,,,,,,
,Franklin,"17,670","1,138","1,139",               -,3,8,1,84,980,62,1,,,,,,,
,Gary,"112,824","6,301",,67,67,543,386,"1,667","2,202","1,369",,,,,,,,
,Goshen,"27,007","1,713","1,714",               -,5,7,271,144,"1,226",60,1,,,,,,,
,Greenfield,"15,103",172,174,               -,             -,4,7,30,121,10,2,,,,,,,
,Greenwood,"35,760","1,875","1,877",2,11,15,151,149,"1,473",74,2,,,,,,,
,Griffith,"17,201",606,614,1,3,14,28,42,457,61,8,,,,,,,
,Hammond,"79,154","6,211","6,281",22,37,311,530,"1,016","3,431",864,70,,,,,,,
,Highland,"24,630","1,112","1,118",               -,3,11,78,72,816,132,6,,,,,,,
,Huntington,"16,474",452,454,1,4,5,13,57,363,9,2,,,,,,,
,Indianapolis,"768,124","37,389","37,695",96,443,"2,551","3,753","8,095","16,466","5,985",306,,,,,,,
,Jasper,"12,065",354,354,               -,             -,5,9,36,288,16,           -,,,,,,,
,Jeffersonville,"27,683","1,541","1,547",1,17,49,76,400,817,181,6,,,,,,,
,Kokomo,"46,265","2,736","2,750",5,15,46,171,346,"2,033",120,14,,,,,,,
,Lafayette,"50,241","2,961","2,972",               -,31,48,85,454,"2,202",141,11,,,,,,,
,La Porte,"20,677","1,081","1,081",2,3,10,11,125,857,73,           -,,,,,,,
,Lawrence,"35,720",949,964,4,15,56,19,185,552,118,15,,,,,,,
,Logansport,"16,972",785,788,               -,2,4,7,191,519,62,3,,,,,,,
,Madison,"13,123",438,438,               -,2,              -,16,108,264,48,           -,,,,,,,
,Martinsville,"12,361",781,783,1,1,2,37,59,649,32,2,,,,,,,
,Merrillville,"32,014","1,106","1,107",               -,2,41,28,63,842,130,1,,,,,,,
,Michigan City,"33,510","2,690","2,708",2,18,74,61,380,"1,807",348,18,,,,,,,
,Mishawaka,"47,163","4,282","4,304",1,18,57,191,460,"3,268",287,22,,,,,,,
,Munster,"20,913",626,628,               -,             -,17,26,42,488,53,2,,,,,,,
,New Albany,"41,205","2,922","2,945",               -,16,66,155,590,"1,924",171,23,,,,,,,
,New Castle,"17,887","1,689","1,693",2,2,5,3,343,"1,290",44,4,,,,,,,
,New Haven,"14,867",425,425,               -,5,10,7,77,281,45,           -,,,,,,,
,Noblesville,"29,264",625,625,               -,5,7,1,90,492,30,           -,,,,,,,
,Plainfield,"19,287",756,758,               -,5,5,13,128,561,44,2,,,,,,,
,Plymouth,"10,880",422,422,               -,3,4,2,43,348,22,           -,,,,,,,
,Portage,"34,252","1,308","1,315",1,10,9,22,184,972,110,7,,,,,,,
,Richmond,"39,168","2,565","2,624",4,21,83,83,427,"1,771",176,59,,,,,,,
,Schererville,"23,774",641,642,               -,3,2,14,47,516,59,1,,,,,,,
,Seymour,"18,564","1,182","1,190",1,10,8,73,103,948,39,8,,,,,,,
,South Bend,"101,232","8,496","8,557",12,68,388,329,"1,930","5,049",720,61,,,,,,,
,Speedway,"12,295","1,066","1,066",1,7,48,13,71,843,83,           -,,,,,,,
,Terre Haute,"53,883","5,141","5,186",3,14,57,63,"1,093","3,625",286,45,,,,,,,
,Valparaiso,"27,674",808,809,               -,4,7,15,101,638,43,1,,,,,,,
,Vincennes,"18,763","1,283","1,290",               -,10,6,11,237,960,59,7,,,,,,,
,Wabash,"11,773",197,200,               -,1,3,2,33,150,8,3,,,,,,,
,Warsaw,"12,075",557,557,               -,4,2,44,52,434,21,           -,,,,,,,
,Westfield,"11,940",199,200,               -,             -,1,6,21,163,8,1,,,,,,,
,West Lafayette,"31,110",636,636,               -,9,7,23,74,506,17,           -,,,,,,,
IOWA,Altoona,"10,108",458,458,1,3,3,6,58,366,21,           -,,,,,,,
,Ames,"49,744","1,592","1,595",               -,16,9,45,93,"1,380",49,3,,,,,,,
,Ankeny,"26,634",900,904,               -,2,6,36,136,687,33,4,,,,,,,
,Bettendorf,"32,178",808,819,               -,4,8,50,91,614,41,11,,,,,,,
,Boone,"13,112",283,287,               -,             -,3,2,50,213,15,4,,,,,,,
,Burlington,"27,112","1,483","1,490",1,13,17,124,266,"1,007",55,7,,,,,,,
,Carroll,"10,594",241,241,               -,             -,              -,2,22,204,13,           -,,,,,,,
,Cedar Falls,"35,227",990,996,               -,10,4,106,93,744,33,6,,,,,,,
,Cedar Rapids,"118,073","6,245","6,261",1,35,95,219,"1,027","4,537",331,16,,,,,,,
,Clive,"11,892",400,403,               -,3,              -,17,70,293,17,3,,,,,,,
,Coralville,"13,378",657,662,               -,5,5,8,57,553,29,5,,,,,,,
,Council Bluffs,"58,503","5,787","5,841",7,73,95,316,796,"3,895",605,54,,,,,,,
,Davenport,"100,205","7,966","8,017",5,47,211,"1,336","1,217","4,781",369,51,,,,,,,
,Des Moines,"194,745","13,652","13,725",14,98,291,312,"1,729","10,250",958,73,,,,,,,
,Dubuque,"57,867","1,977","2,017",1,29,4,87,308,"1,462",86,40,,,,,,,
,Fairfield,"10,262",441,443,               -,3,2,32,75,310,19,2,,,,,,,
,Fort Dodge,"26,101","1,989","2,002",               -,20,20,123,361,"1,382",83,13,,,,,,,
,Fort Madison,"11,856",413,416,               -,             -,3,4,76,312,18,3,,,,,,,
,Indianola,"13,120",368,370,               -,1,              -,6,50,295,16,2,,,,,,,
,Iowa City,"62,514","2,038","2,053",1,25,30,265,320,"1,225",172,15,,,,,,,
,Keokuk,"12,743",721,727,               -,6,4,113,96,487,15,6,,,,,,,
,Marshalltown,"26,456","1,312","1,316",2,5,11,210,249,779,56,4,,,,,,,
,Mason City,"29,259","2,084","2,088",1,6,6,39,298,"1,687",47,4,,,,,,,
,Muscatine,"23,492","1,106","1,115",               -,29,3,191,279,558,46,9,,,,,,,
,Oskaloosa,"10,959",367,371,               -,1,1,9,125,208,23,4,,,,,,,
,Ottumwa,"24,740","1,612","1,624",2,10,13,145,276,"1,108",58,12,,,,,,,
,Pella,"10,058",194,197,               -,4,              -,14,22,138,16,3,,,,,,,
,Sioux City,"84,486","5,549","5,568",1,40,50,383,"1,016","3,698",361,19,,,,,,,
,Spencer,"11,343",335,335,               -,1,1,1,50,268,14,           -,,,,,,,
,Urbandale,"28,657",806,818,1,             -,9,14,118,643,21,12,,,,,,,
,Waterloo,"64,046","3,926","3,967",3,32,70,216,937,"2,398",270,41,,,,,,,
,West Des Moines,"45,521","1,760","1,763",               -,5,15,46,229,"1,405",60,3,,,,,,,
KANSAS,Topeka,"126,141","13,056",,18,61,472,727,"2,727","8,067",984,,,,,,,,
,Wichita,"339,907","21,669",,31,176,595,"1,279","3,757","14,154","1,677",,,,,,,,
KENTUCKY,Ashland,"22,508","1,149","1,153",               -,3,20,56,183,860,27,4,,,,,,,
,Bowling Green,"46,481","2,961","2,969",3,36,77,163,553,"1,940",189,8,,,,,,,
,Florence,"20,583","1,358","1,363",1,4,19,34,135,"1,112",53,5,,,,,,,
,Lexington,"248,767","13,657","13,722",11,115,599,"1,163","2,164","8,837",768,65,,,,,,,
,Louisville,"258,301","15,058","15,331",36,68,"1,079",853,"3,202","7,512","2,308",273,,,,,,,
,Madisonville,"20,172","1,159","1,161",               -,2,18,121,187,782,49,2,,,,,,,
,Murray,"16,570",514,518,               -,2,8,14,130,327,33,4,,,,,,,
,Owensboro,"55,114","2,805","2,806",               -,16,53,46,551,"2,040",99,1,,,,,,,
,Paducah,"26,304","1,963","1,967",3,11,58,98,253,"1,420",120,4,,,,,,,
,Radcliff,"20,290",772,775,2,11,26,37,168,511,17,3,,,,,,,
LOUISIANA,Abbeville,"13,168",539,539,1,             -,10,62,78,388,             -,           -,,,,,,,
,Alexandria,"46,978","5,612","5,612",5,33,180,322,"1,279","3,664",129,           -,,,,,,,
,Bogalusa,"13,671","1,148","1,163",2,14,24,167,243,649,49,15,,,,,,,
,Bossier City,"57,664","4,172","4,186",4,32,106,345,611,"2,813",261,14,,,,,,,
,Crowley,"14,157",838,838,               -,             -,              -,73,163,598,4,           -,,,,,,,
,Denham Springs,"10,197","1,120","1,121",               -,3,18,100,119,846,34,1,,,,,,,
,De Ridder,"11,553",174,174,               -,             -,1,20,25,121,7,           -,,,,,,,
,Eunice,"11,553","1,210","1,213",1,2,7,322,130,717,31,3,,,,,,,
,Gretna,"16,528","1,214","1,218",4,11,74,120,201,666,138,4,,,,,,,
,Houma,"33,263","2,316","2,335",               -,15,60,360,322,"1,413",146,19,,,,,,,
,Jennings,"11,939",657,662,4,7,7,74,87,453,25,5,,,,,,,
,Kenner,"73,154","3,883","3,883",5,21,92,283,467,"2,525",490,           -,,,,,,,
,Lafayette,"119,396","8,259","8,277",3,82,182,589,"1,292","5,536",575,18,,,,,,,
,Lake Charles,"73,773","4,478","4,498",11,47,173,398,"1,443","2,158",248,20,,,,,,,
,Mandeville,"10,570",579,582,               -,3,3,28,61,462,22,3,,,,,,,
,Minden,"13,710",320,320,1,             -,7,42,60,193,17,           -,,,,,,,
,Monroe,"53,270","6,708","6,709",8,49,124,768,964,"4,373",422,1,,,,,,,
,Morgan City,"14,061",831,831,               -,7,17,86,101,587,33,           -,,,,,,,
,Natchitoches,"17,207","1,312","1,312",               -,7,29,232,449,571,24,           -,,,,,,,
,New Iberia,"34,056",960,962,1,10,29,38,173,627,82,2,,,,,,,
,New Orleans,"471,134","34,001","34,208",204,227,"2,421","2,478","5,230","15,575","7,866",207,,,,,,,
,Opelousas,"19,743","1,455","1,460",               -,14,42,129,541,674,55,5,,,,,,,
,Pineville,"15,248",743,745,               -,3,4,6,261,445,24,2,,,,,,,
,Ruston,"20,690","1,364","1,369",               -,5,28,106,283,915,27,5,,,,,,,
,Shreveport,"191,548","17,059","17,170",54,98,570,"1,153","3,183","10,996","1,005",111,,,,,,,
,Slidell,"27,740","2,272","2,272",               -,12,44,114,254,"1,663",185,           -,,,,,,,
,Sulphur,"21,620","1,142","1,150",2,13,20,86,230,735,56,8,,,,,,,
,Thibodaux,"15,499",619,619,               -,8,22,49,88,443,9,           -,,,,,,,
,Westwego,"10,503",542,550,               -,4,20,48,84,347,39,8,,,,,,,
,Zachary,"12,188",635,636,               -,             -,11,37,87,466,34,1,,,,,,,
MAINE,Auburn,"22,859","1,027","1,031",               -,15,13,32,262,665,40,4,,,,,,,
,Augusta,"20,066",989,"1,003",               -,15,11,29,165,733,36,14,,,,,,,
,Bangor,"33,232","1,875","1,890",               -,10,19,26,257,"1,483",80,15,,,,,,,
,Bath,"10,001",454,454,               -,5,2,2,56,372,17,           -,,,,,,,
,Biddeford,"21,649",850,879,               -,16,10,34,155,606,29,29,,,,,,,
,Brunswick,"21,264",598,598,               -,5,4,5,94,465,25,           -,,,,,,,
,Gorham,"13,981",250,251,               -,1,              -,3,40,194,12,1,,,,,,,
,Lewiston,"36,825","1,719","1,739",               -,20,28,8,368,"1,234",61,20,,,,,,,
,Orono,"10,614",170,170,               -,1,1,4,23,141,             -,           -,,,,,,,
,Portland,"63,006","2,869","2,888",               -,59,56,95,516,"2,120",23,19,,,,,,,
,Saco,"16,646",653,653,               -,             -,1,14,105,520,13,           -,,,,,,,
,Sanford,"21,450",679,679,               -,3,12,10,86,542,26,           -,,,,,,,
,Scarborough,"15,394",284,284,               -,             -,1,7,39,222,15,           -,,,,,,,
,Skowhegan,"10,678",583,583,               -,             -,1,15,90,451,26,           -,,,,,,,
,South Portland,"24,341",971,971,1,10,10,6,54,868,22,           -,,,,,,,
,Waterville,"16,487",715,717,               -,4,4,3,95,584,25,2,,,,,,,
,Westbrook,"17,118",432,435,1,6,4,18,76,298,29,3,,,,,,,
,Windham,"15,025",427,427,               -,             -,6,1,80,320,20,           -,,,,,,,
,York,"12,504",234,234,               -,1,4,2,43,174,10,           -,,,,,,,
MARYLAND,Aberdeen,"14,048",845,852,1,4,39,40,105,614,42,7,,,,,,,
,Annapolis,"33,925","2,418","2,448",2,17,191,320,296,"1,463",129,30,,,,,,,
,Baltimore,"647,955","65,886","66,397",261,366,"6,613","8,763","10,688","31,337","7,858",511,,,,,,,
,Cambridge,"11,122",827,828,               -,3,14,108,125,553,24,1,,,,,,,
,Cumberland,"23,161","1,349","1,355",               -,13,14,158,207,881,76,6,,,,,,,
,Easton,"11,444",678,687,               -,3,11,33,115,499,17,9,,,,,,,
,Elkton,"11,243",902,913,               -,2,23,83,108,626,60,11,,,,,,,
,Frederick,"49,886","2,544","2,564",5,18,98,501,379,"1,411",132,20,,,,,,,
,Greenbelt,"22,689","1,462","1,462",3,10,83,72,152,864,278,           -,,,,,,,
,Hagerstown,"35,447","1,740","1,781",2,9,54,152,318,"1,062",143,41,,,,,,,
,Havre de Grace,"10,803",525,528,               -,1,25,60,79,331,29,3,,,,,,,
,Hyattsville,"15,292",859,859,               -,1,54,32,99,565,108,           -,,,,,,,
,Laurel,"19,673","1,221","1,221",2,3,55,53,96,877,135,           -,,,,,,,
,Salisbury,"21,633","2,512","2,527",2,18,98,330,402,"1,538",124,15,,,,,,,
,Takoma Park,"19,471",927,927,1,5,97,27,137,494,166,           -,,,,,,,
,Westminster,"16,189",987,996,1,1,21,58,133,731,42,9,,,,,,,
MASSACHUSETTS,Abington,"15,362",280,286,               -,5,12,82,50,100,31,6,,,,,,,
,Acushnet,"10,854",,,               -,5,1,,34,100,14,           -,,,,,,,
,Agawam,"27,438",712,716,               -,10,4,188,137,302,71,4,,,,,,,
,Amherst,"37,501",617,,               -,6,1,47,129,369,65,,,,,,,,
,Andover,"32,749",457,461,               -,1,4,12,61,345,34,4,,,,,,,
,Arlington,"44,518",402,,               -,5,5,12,72,276,32,,,,,,,,
,Ashland,"14,235",119,121,               -,2,              -,45,16,54,2,2,,,,,,,
,Athol,"11,742",,,               -,             -,              -,,103,104,23,3,,,,,,,
,Attleboro,"41,026","1,042",,3,9,23,75,155,687,90,,,,,,,,
,Barnstable,"47,365",,,               -,22,25,,288,897,111,,,,,,,,
,Bedford,"14,188",67,67,               -,             -,              -,1,9,51,6,           -,,,,,,,
,Belchertown,"12,536",128,128,1,2,              -,33,21,61,10,           -,,,,,,,
,Bellingham,"16,442",211,212,               -,             -,2,7,41,152,9,1,,,,,,,
,Belmont,"24,419",249,,               -,2,1,14,49,171,12,,,,,,,,
,Boston,"570,888","35,870",,39,325,"2,451","4,507","4,051","17,228","7,269",,,,,,,,
,Bourne,"18,845",,,               -,4,2,,217,384,41,10,,,,,,,
,Braintree,"35,806","1,242","1,247",               -,2,15,42,100,926,157,5,,,,,,,
,Brewster,"10,157",109,109,               -,2,1,3,30,73,             -,           -,,,,,,,
,Bridgewater,"25,484",347,349,               -,1,1,10,59,247,29,2,,,,,,,
,Brockton,"96,291","4,873",,2,39,207,748,703,"2,151","1,023",,,,,,,,
,Brookline,"55,115","1,018",,               -,9,29,54,187,619,120,,,,,,,,
,Burlington,"24,303",938,,               -,             -,10,18,111,753,46,,,,,,,,
,Cambridge,"95,560","4,390",,1,11,186,322,552,"2,820",498,,,,,,,,
,Canton,"21,475",211,212,               -,             -,              -,8,37,147,19,1,,,,,,,
,Carver,"12,216",168,169,               -,             -,              -,21,55,73,19,1,,,,,,,
,Charlton,"10,839",72,,               -,             -,1,5,38,23,5,,,,,,,,
,Chelsea,"28,197","1,547","1,555",3,14,96,354,190,510,380,8,,,,,,,
,Chicopee,"55,265", ,,2,39,47,,637,721,207,17,,,,,,,
,Clinton,"13,540",293,296,1,             -,4,18,33,214,23,3,,,,,,,
,Concord,"18,305",184,184,               -,             -,              -,14,8,159,3,           -,,,,,,,
,Danvers,"26,222",819,820,               -,             -,4,27,50,668,70,1,,,,,,,
,Dartmouth,"30,660","1,214","1,223",               -,6,15,220,227,655,91,9,,,,,,,
,Dedham,"24,249",465,466,               -,2,5,5,29,367,57,1,,,,,,,
,Dennis,"15,283",570,574,1,3,4,61,122,356,23,4,,,,,,,
,Dracut,"28,990",492,,               -,16,10,29,86,286,65,,,,,,,,
,Duxbury,"15,972",61,61,               -,             -,              -,2,19,40,             -,           -,,,,,,,
,East Bridgewater,"13,186",150,150,               -,1,1,12,18,103,15,           -,,,,,,,
,Easthampton,"15,964",257,259,               -,3,3,114,57,72,8,2,,,,,,,
,East Longmeadow,"14,322",437,444,               -,3,8,27,55,318,26,7,,,,,,,
,Easton,"22,154",229,229,               -,1,3,7,39,167,12,           -,,,,,,,
,Everett,"35,752","1,219","1,220",2,5,44,273,194,493,208,1,,,,,,,
,Fairhaven,"16,431",662,665,2,2,5,114,172,351,16,3,,,,,,,
,Fall River,"93,106","3,627",,               -,39,149,360,782,"1,854",443,,,,,,,,
,Falmouth,"32,897","1,050","1,056",1,3,4,96,220,689,37,6,,,,,,,
,Fitchburg,"41,545","2,123",,1,31,79,320,465,"1,026",201,,,,,,,,
,Foxborough,"16,899",195,195,               -,1,              -,36,12,137,9,           -,,,,,,,
,Franklin,"29,691",124,136,               -,             -,              -,37,4,80,3,12,,,,,,,
,Gloucester,"30,582",487,,               -,4,7,23,137,265,51,,,,,,,,
,Grafton,"14,166",128,128,               -,             -,1,44,24,55,4,           -,,,,,,,
,Greenfield,"18,665",,,               -,10,4,,207,355,37,6,,,,,,,
,Hanover,"13,851",205,205,               -,2,1,4,34,153,11,           -,,,,,,,
,Harvard,"12,102",28,28,               -,             -,              -,1,7,16,4,           -,,,,,,,
,Harwich,"12,403",318,318,               -,9,              -,28,80,192,9,           -,,,,,,,
,Haverhill,"57,089","2,022",,1,23,34,187,731,702,344,,,,,,,,
,Holbrook,"11,449",210,,               -,2,5,5,48,136,14,,,,,,,,
,Holden,"15,793",123,126,               -,2,              -,40,27,53,1,3,,,,,,,
,Holliston,"14,054",35,35,               -,             -,              -,2,14,18,1,           -,,,,,,,
,Holyoke,"41,823","2,772",,4,23,95,338,486,"1,622",204,,,,,,,,
,Hopkinton,"11,978",45,45,               -,             -,              -,1,1,41,2,           -,,,,,,,
,Hudson,"18,427",316,322,               -,5,3,17,31,249,11,6,,,,,,,
,Hull,"10,858",,,1,4,2,,24,58,13,1,,,,,,,
,Ipswich,"13,117",193,193,               -,1,              -,6,29,148,9,           -,,,,,,,
,Kingston,"11,542",376,377,               -,2,4,9,12,316,33,1,,,,,,,
,Lawrence,"71,760","4,080",,3,20,138,488,591,"1,047","1,793",,,,,,,,
,Leicester,"10,921",136,136,               -,             -,1,8,10,111,6,           -,,,,,,,
,Leominster,"41,495","1,453","1,456",               -,8,16,62,242,"1,009",116,3,,,,,,,
,Lexington,"30,416",310,312,               -,             -,              -,28,26,250,6,2,,,,,,,
,Longmeadow,"15,068",227,227,               -,             -,1,1,13,208,4,           -,,,,,,,
,Lowell,"103,954","3,999",,6,45,131,555,686,"1,765",811,,,,,,,,
,Ludlow,"19,561",375,,               -,3,5,47,39,255,26,,,,,,,,
,Lynn,"83,268",,,5,14,148,,615,"1,858","1,283",,,,,,,,
,Lynnfield,"11,766",201,201,               -,             -,5,34,51,96,15,           -,,,,,,,
,Mansfield,"20,297",,,               -,4,5,,34,216,32,1,,,,,,,
,Marblehead,"20,633",230,231,               -,             -,3,13,10,190,14,1,,,,,,,
,Marlborough,"34,349",669,669,               -,6,8,47,89,479,40,           -,,,,,,,
,Marshfield,"24,494",363,363,               -,4,1,47,31,263,17,           -,,,,,,,
,Mashpee,"10,060",125,125,               -,             -,              -,35,23,56,11,           -,,,,,,,
,Maynard,"10,768",92,92,               -,1,              -,7,9,74,1,           -,,,,,,,
,Medfield,"12,084",99,101,               -,3,              -,5,10,77,4,2,,,,,,,
,Medford,"57,124","1,402",,               -,8,27,92,162,934,179,,,,,,,,
,Medway,"12,218",67,67,               -,             -,              -,4,16,43,4,           -,,,,,,,
,Melrose,"28,008",375,375,               -,1,7,3,113,239,12,           -,,,,,,,
,Methuen,"43,557","1,151","1,151",               -,6,20,52,156,708,209,           -,,,,,,,
,Middleboro,"20,472",483,491,               -,2,4,44,68,315,50,8,,,,,,,
,Milford,"26,638",161,,               -,2,2,13,27,98,19,,,,,,,,
,Millbury,"12,754",187,187,               -,2,2,83,26,62,12,           -,,,,,,,
,Milton,"26,332",181,,               -,             -,9,1,31,121,19,,,,,,,,
,Natick,"32,485",721,,               -,2,6,28,82,564,39,,,,,,,,
,Needham,"28,616",285,285,               -,1,3,18,29,223,11,           -,,,,,,,
,New Bedford,"97,449","3,166",,1,44,145,599,801,"1,032",544,,,,,,,,
,Newburyport,"17,349",269,269,               -,4,              -,16,37,206,6,           -,,,,,,,
,Newton,"82,400","1,090",,               -,5,16,41,178,791,59,,,,,,,,
,Norfolk,"11,120",47,47,               -,             -,              -,3,5,37,2,           -,,,,,,,
,North Adams,"15,987",600,605,1,11,1,96,168,297,26,5,,,,,,,
,Northampton,"29,212",612,612,               -,13,10,24,79,459,27,           -,,,,,,,
,North Andover,"28,052",319,319,               -,             -,4,15,72,201,27,           -,,,,,,,
,North Attleboro,"26,694",895,,               -,1,8,19,165,619,83,,,,,,,,
