State,City,Population,Crime Index total,Modified Crime Index total1,Murder      and non-negligent         man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Burglary,Larceny-theft,Motor vehicle theft,Arson,
,San Luis Obispo,"43,557","1,928","2,025",2,16,17,80, ,376,"1,322",115,97,
,San Marcos,"50,310","1,589","1,598",-,12,46,131, ,386,797,217,9,
,San Marino,"13,156",113,113,-,1,7,-, ,41,57,7,-, 
,San Mateo,"92,619","2,581","2,602",-,19,73,186, ,284,"1,799",220,21,
,San Pablo,"27,347","2,201","2,215",2,6,154,164, ,388,"1,110",377,14,
,San Rafael,"51,805","1,767","1,775",-,10,48,275, ,293,"1,003",138,8,
,San Ramon,"43,071",887,893,1,4,9,45, ,152,611,65,6,
,Santa Ana,"310,437","11,167","11,414",15,97,865,851, ,"1,226","5,826","2,287",247,
,Santa Barbara,"87,914","2,919","2,927",2,24,74,423, ,473,"1,775",148,8,
,Santa Clara,"101,840","3,068","3,104",2,8,44,208, ,372,"2,145",289,36,
,Santa Clarita,"128,862","2,673","2,716",2,19,79,388, ,508,"1,435",242,43,
,Santa Cruz,"53,627","2,614","2,647",1,19,79,283, ,358,"1,734",140,33,
,Santa Fe Springs,"15,720","1,363","1,370",3,3,74,66, ,225,772,220,7,
,Santa Maria,"69,119","2,538","2,573",1,24,74,217, ,386,"1,656",180,35,
,Santa Monica,"90,834","4,883","4,957",1,29,279,319, ,560,"3,120",575,74,
,Santa Paula,"27,117",864,874,1,9,42,111, ,295,330,76,10,
,Santa Rosa,"128,750","5,410","5,441",5,73,152,292, ,720,"3,840",328,31,
,Santee,"58,586","1,344","1,350",1,12,22,119, ,259,759,172,6,
,Saratoga,"30,321",369,372,-,3,2,12, ,84,247,21,3,
,Scotts Valley,"10,223",332,338,-,1,2,25, ,69,227,8,6,
,Seal Beach,"26,545",584,589,-,5,20,56, ,145,318,40,5,
,Seaside,"28,672","1,017","1,026",4,8,48,163, ,163,544,87,9,
,Selma,"17,658","1,424","1,433",-,6,34,112, ,259,811,202,9,
,Shafter,"11,317",467,507,1,3,3,51, ,129,247,33,40,
,Sierra Madre,"11,121",133,133,-,-,1,6, ,45,76,5,-,
,Simi Valley,"112,081","1,647","1,699",-,11,24,81, ,383,987,161,52,
,Solana Beach,"13,897",296,297,-,-,19,16, ,72,145,44,1,
,Soledad,"15,635",230,230,1,2,11,31, ,69,106,10,-, 
,South El Monte,"21,596",609,616,2,9,61,107, ,108,211,111,7,
,South Gate,"89,679","2,903","2,917",7,24,363,270, ,516,904,819,14,
,South Lake Tahoe,"23,864",902,907,-,7,26,66, ,212,535,56,5,
,South Pasadena,"24,450",594,604,-,5,28,27, ,108,355,71,10,
,South San Francisco,"59,691","1,596","1,604",1,16,62,63, ,235,"1,012",207,8,
,Stanton,"33,522","1,001","1,022",5,10,58,66, ,183,522,157,21,
,Stockton,"243,661","16,546","16,681",32,130,904,"1,742", ,"2,476","9,122","2,140",135,
,Suisun City,"27,297",702,712,1,2,20,39, ,158,395,87,10,
,Sunnyvale,"129,311","2,655","2,673",1,25,46,128, ,304,"1,944",207,18,
,Susanville,"17,677",311,315,1,6,3,30, ,62,205,4,4,
,Temecula,"44,920","1,405","1,405",-,22,22,146, ,389,710,116,-,
,Temple City,"32,498",537,541,2,3,30,89, ,152,218,43,4,
,Thousand Oaks,"118,916","1,831","1,849",2,10,39,105, ,369,"1,177",129,18,
,Torrance,"139,548","4,611","4,636",3,23,188,229, ,785,"2,636",747,25,
,Tracy,"48,341","1,962","1,964",1,12,27,75, ,248,"1,395",204,2,
,Tulare,"41,535","2,750","2,797",1,15,66,342, ,"1,003",991,332,47,
,Turlock,"51,002","2,913","2,971",3,19,65,207, ,738,"1,401",480,58,
,Tustin,"65,313","2,263","2,285",2,5,66,188, ,357,"1,411",234,22,
,Twenty-Nine Palms,"14,480",542,558,1,13,11,48, ,179,247,43,16,
,Twin Cities,"11,606",601,603,-,1,8,3, ,205,357,27,2,
,Ukiah,"14,909",755,763,1,9,21,63, ,196,420,45,8,
,Union City,"65,024","2,594","2,610",2,16,92,204, ,389,"1,562",329,16,
,Upland,"68,820","2,951","2,992",5,17,89,280, ,621,"1,668",271,41,
,Vacaville,"84,583","2,337","2,354",2,23,63,224, ,333,"1,494",198,17,
,Vallejo,"113,173","7,304","7,356",6,48,433,810, ,"1,323","3,905",779,52,
,Ventura,"99,807","2,989","3,022",3,19,94,218, ,649,"1,795",211,33,
,Victorville,"69,924","3,127","3,137",4,19,128,164, ,591,"1,823",398,10,
,Visalia,"90,616","5,004","5,043",7,26,114,606, ,"1,086","2,777",388,39,
,Vista,"82,094","2,742","2,755",1,31,113,269, ,609,"1,356",363,13,
,Walnut,"31,566",511,517,-,3,32,54, ,116,235,71,6,
,Walnut Creek,"65,248","2,201","2,208",1,3,29,90, ,340,"1,582",156,7,
,Watsonville,"33,841","1,831","1,838",2,8,50,279, ,334,"1,039",119,7,
,West Covina,"100,912","4,265","4,287",3,19,180,219, ,511,"2,643",690,22,
,West Hollywood,"36,857","1,985","1,993",2,11,144,176, ,273,"1,056",323,8,
,Westminster,"85,273","3,575","3,609",6,16,138,208, ,795,"1,812",600,34,
,West Sacramento,"30,180","1,809","1,830",1,15,51,479, ,323,651,289,21,
,Whittier,"80,294","2,391","2,407",1,12,101,163, ,350,"1,486",278,16,
,Windsor,"13,530",399,403,-,5,8,22, ,77,262,25,4,
,Woodland,"44,239","1,306","1,334",2,15,42,171, ,225,701,150,28,
,Yorba Linda,"61,037",862,870,1,5,12,52, ,149,594,49,8,
,Yuba City,"33,477","2,094","2,102",2,19,40,118, ,396,"1,283",236,8,
,Yucaipa,"37,330",842,850,-,6,32,45, ,218,462,79,8,
,Yucca Valley,"19,266",613,620,1,2,20,78, ,156,326,30,7,
COLORADO,Arvada,"99,703","3,487","3,499",-,17,38,10, ,493,"2,705",224,12,
,Aurora,"255,938","14,303","14,368",11,178,464,828, ,"2,150","8,721","1,951",65,
,Boulder,"92,485","3,924","3,971",-,39,36,111, ,561,"2,991",186,47,
,Broomfield,"34,942","1,206","1,220",-,3,10,20, ,198,893,82,14,
,Canon City,"15,566",753,753,-,8,5,20, ,79,616,25,-,
,Castle Rock,"15,115",,,3,1,1,10, ,76,,27,6,
,Colorado Springs,"352,386","18,937","19,081",25,252,553,"1,103", ,"2,933","12,968","1,103",144,
,Commerce City,"17,727","1,577","1,592",2,9,19,106, ,252,994,195,15,
,Denver,"509,624","26,786","27,074",63,249,"1,038","1,559", ,"5,409","13,475","4,993",288,
,Durango,"14,151","1,020","1,025",-,20,1,31, ,110,824,34,5,
,Englewood,"32,271","2,268","2,280",2,37,19,150, ,262,"1,551",247,12,
,Federal Heights,"11,820",572,573,-,3,4,9, ,43,446,67,1,
,Fort Collins,"111,241","4,849","4,871",3,72,35,279, ,734,"3,504",222,22,
,Fort Morgan,"10,265",516,518,-,5,9,8, ,64,417,13,2,
,Golden,"15,586",582,597,-,2,3,41, ,78,414,44,15,
,Grand Junction,"42,150","2,659","2,679",5,7,17,133, ,364,"2,038",95,20,
,Greeley,"71,945","3,631","3,672",2,36,28,199, ,533,"2,650",183,41,
,Greenwood Village,"14,759",699,707,-,-,8,16, ,85,545,45,8,
,Lafayette,"20,926",679,699,-,11,5,46, ,112,481,24,20,
,Lakewood,"139,819","6,811","6,844",7,51,110,168, ,974,"4,758",743,33,
,Littleton,"41,940","1,225","1,238",1,7,8,61, ,201,837,110,13,
,Louisville,"18,254",416,416,-,3,1,20, ,53,327,12,-,
,Montrose,"11,697",805,810,-,4,6,27, ,83,658,27,5,
,Northglenn,"30,533","1,419","1,430",-,13,19,65, ,210,971,141,11,
,Parker,"15,575",426,445,-,1,5,7, ,86,310,17,19,
,Pueblo,"109,602","6,724","6,776",6,100,161,825, ,947,"4,382",303,52,
,Sterling,"10,655",657,663,-,3,3,22, ,98,511,20,6,
,Thornton,"75,729","3,824","3,859",2,30,51,250, ,496,"2,681",314,35,
,Westminster,"97,743","4,181","4,195",4,16,46,132, ,524,"3,053",406,14,
CONNECTICUT,Ansonia,"17,759",425,430,1,11,12,35, ,49,250,67,5,
,Avon,"14,127",213,214,-,-,3,3, ,40,157,10,1,
,Berlin,"17,288",365,365,-,-,5,-, ,54,268,38,-,
,Bethel,"17,917",194,196,-,-,2,2, ,27,154,9,2,
,Bloomfield,"19,046",516,516,-,8,15,26, ,90,340,37,-,
,Branford,"27,212",870,872,1,13,9,10, ,79,723,35,2,
,Bridgeport,"137,728","8,285","8,521",30,66,725,999, ,"1,885","2,705","1,875",236,
,Bristol,"59,302","1,520","1,526",2,22,19,195, ,295,894,93,6,
,Brookfield,"14,700",174,174,-,1,1,8, ,26,136,2,-,
,Cheshire,"26,535",378,381,-,-,4,1, ,65,293,15,3,
,Clinton,"13,143",161,161,-,4,1,10, ,20,119,7,-,
,Coventry,"11,104",153,155,-,-,-,18, ,22,102,11,2,
,Cromwell,"12,620",368,369,-,1,4,4, ,40,292,27,1,
,Danbury,"65,989","2,268","2,273",1,6,54,51, ,265,"1,719",172,5,
,Darien,"18,129",262,265,1,-,-,2, ,55,184,20,3,
,Derby,"11,971",421,421,-,2,11,7, ,127,214,60,-,
,East Hampton,"11,079",135,135,-,1,-,3, ,22,104,5,-,
,East Hartford,"47,484","1,980","1,985",5,5,85,66, ,308,"1,216",295,5,
,East Windsor,"10,050",315,317,-,5,11,8, ,39,218,34,2,
,Enfield,"43,204","1,104","1,117",-,5,13,44, ,154,776,112,13,
,Fairfield,"53,871","1,570","1,571",-,6,20,6, ,278,"1,098",162,1,
,Farmington,"21,212",922,922,-,2,5,5, ,94,763,53,-,
,Glastonbury,"28,902",481,485,1,1,6,7, ,63,384,19,4,
,Greenwich,"58,474",865,869,-,3,11,50, ,90,611,100,4,
,Groton Town,"31,364",729,732,-,35,11,27, ,98,525,33,3,
,Guilford,"20,288",425,428,-,8,1,12, ,54,332,18,3,
,Hamden,"53,140","1,895","1,895",1,8,44,29, ,230,"1,420",163,-,
,Hartford,"131,843","10,261","10,445",21,52,765,647, ,"1,542","5,830","1,404",184,
,Madison Town,"16,236",183,183,1,1,2,3, ,33,140,3,-,
,Manchester,"51,783","2,559","2,591",-,21,64,66, ,657,"1,616",135,32,
,Meriden,"56,805","2,201","2,201",3,11,39,299, ,401,"1,326",122,-,
,Middletown,"43,746","1,333","1,333",-,3,20,26, ,177,969,138,-,
,Milford,"50,149","2,077","2,088",1,15,43,23, ,287,"1,519",189,11,
,Monroe,"18,611",193,193,1,-,-,3, ,33,144,12,-,
,Naugatuck,"30,305",609,613,-,3,8,56, ,87,393,62,4,
,New Britain,"70,663","3,963","3,963",1,10,134,195, ,998,"2,242",383,-,
,New Canaan,"18,111",211,211,-,4,-,6, ,48,144,9,-,
,New Haven,"123,489","12,009","12,068",12,56,831,"1,018", ,"1,962","6,762","1,368",59,
,Newington,"28,415",766,768,1,12,10,5, ,74,602,62,2,
,New London,"23,927","1,267","1,282",1,13,57,169, ,263,672,92,15,
,New Milford,"25,574",488,492,-,6,2,26, ,102,321,31,4,
,Newtown,"23,526",219,220,1,3,1,7, ,43,146,18,1,
,North Branford,"14,001",135,135,-,-,-,5, ,37,81,12,-,
,North Haven,"22,202",568,570,-,3,8,8, ,73,429,47,2,
,Norwich,"35,016","1,246","1,249",2,7,54,87, ,245,750,101,3,
,Orange,"12,456",540,541,-,2,6,3, ,58,452,19,1,
,Plainfield,"14,628",392,396,-,1,1,47, ,166,149,28,4,
,Plainville,"16,811",566,566,-,-,7,10, ,67,425,57,-,
,Plymouth,"12,069",205,205,1,1,-,2, ,40,148,13,-,
,Ridgefield Town,"22,217",126,126,-,-,1,-, ,21,92,12,-,
,Rocky Hill,"16,783",345,346,-,-,3,14, ,38,261,29,1,
,Seymour,"14,279",265,267,-,2,3,32, ,53,155,20,2,
,Shelton,"37,965",602,602,-,2,5,13, ,133,368,81,-,
,Simsbury,"21,820",241,241,-,1,4,16, ,31,182,7,-,
,Southington,"38,777",951,956,1,5,10,8, ,129,740,58,5,
,South Windsor,"22,766",264,265,-,3,3,9, ,54,172,23,1,
,Stamford,"110,958","3,448","3,456",3,35,141,194, ,341,"2,375",359,8,
,Stonington,"16,563",418,418,-,1,7,9, ,34,356,11,-,
,Stratford,"48,976","1,574","1,582",1,12,52,26, ,240,986,257,8,
,Suffield,"11,326",148,150,-,2,1,3, ,24,108,10,2,
,Torrington,"34,535",777,778,-,-,9,44, ,102,583,39,1,
,Trumbull,"33,597","1,251","1,262",-,-,12,6, ,106,"1,028",99,11,
,Vernon,"29,340",730,737,-,1,14,14, ,119,524,58,7,
,Waterbury,"105,602","6,360","6,386",3,45,209,328, ,"1,212","3,902",661,26,
,Waterford,"17,961",652,652,1,3,13,14, ,76,524,21,-,
,Watertown,"21,742",377,377,-,3,1,-, ,47,314,12,-,
,West Hartford,"56,087","1,842","1,846",-,6,52,32, ,316,"1,312",124,4,
,West Haven,"51,765","2,107","2,111",1,2,58,33, ,284,"1,449",280,4,
,Westport,"24,280",589,589,-,-,6,8, ,117,421,37,-,
,Wethersfield,"25,156",489,493,1,8,17,6, ,59,356,42,4,
,Willimantic,"15,516",871,871,-,-,32,86, ,147,563,43,-,
,Wilton,"16,677",183,183,-,-,1,1, ,32,144,5,-,
,Windsor,"27,542",543,550,-,3,10,10, ,46,422,52,7,
,Windsor Locks,"11,973",179,179,-,2,2,5, ,28,119,23,-,
,Winsted,"11,345",235,240,1,1,3,24, ,52,145,9,5,
,Wolcott,"14,717",273,273,-,-,3,2, ,41,212,15,-,
DELAWARE,Dover,"30,775",,,1,,94,150, ,225,"1,979",151,24,
,Newark,"28,374",,,-,,63,96, ,171,872,74,22,
,Wilmington,"73,098",,,12,,551,768, ,813,"3,601","1,150",29,
DISTRICT OF COLUMBIA,Washington,"519,000","41,840","41,945",241,248,"3,344","4,615", ,"5,067","21,673","6,652",105,
FLORIDA,Altamonte Springs,"39,792","2,143","2,151",1,8,69,90,,276,"1,435",264,8,
,Apopka,"19,914","1,739","1,741",-,5,50,226,,580,758,120,2,
,Atlantic Beach,"13,130",611,612,1,7,17,46,,92,415,33,1,
,Aventura,"20,615","3,058","3,059",2,4,47,46,,124,"2,594",241,1,
,Bartow,"15,222","1,472","1,472",-,7,34,120,,344,858,109,-,
,Belle Glade,"17,449","1,873","1,881",1,15,91,335,,427,908,96,8,
,Boca Raton,"72,700","3,243","3,246",3,8,72,109,,734,"2,029",288,3,
,Boynton Beach,"54,309","4,958","4,974",4,11,154,351,,761,"3,114",563,16,
,Bradenton,"47,665","3,387","3,397",2,21,108,216,,758,"1,987",295,10,
,Cape Coral,"92,374","2,985","3,015",1,19,20,207,,667,"1,927",144,30,
,Casselberry,"25,092","1,321","1,324",-,6,54,101,,231,831,98,3,
,Clearwater,"102,802","6,920","6,948",4,50,236,747, ,"1,209","4,314",360,28,
,Cocoa,"18,750","1,724","1,728",1,13,44,270,,491,770,135,4,
,Cocoa Beach,"12,712","1,102","1,103",-,3,15,70,,127,841,46,1,
,Coconut Creek,"37,927","1,220","1,223",-,6,16,80,,261,662,195,3,
,Cooper City,"29,589",674,679,-,3,11,24,,146,452,38,5,
,Coral Gables,"41,393","3,407","3,411",-,7,65,114,,526,"2,345",350,4,
,Coral Springs,"113,207","3,918","3,933",1,18,59,226, ,641,"2,556",417,15,
,Crestview,"12,720",709,711,-,6,22,72,,88,498,23,2,
,Dania,"15,360","1,580","1,582",1,15,82,133,,235,859,255,2,
,Davie,"63,045","3,878","3,894",2,14,74,214,,580,"2,488",506,16,
,Daytona Beach,"65,989","6,741","6,753",8,77,438,677,,"1,968","2,934",639,12,
,Deerfield Beach,"51,588","2,062","2,065",-,25,66,143,,350,"1,241",237,3,
,De Land,"19,015","2,329","2,332",1,16,71,193,,365,"1,543",140,3,
,Delray Beach,"54,320","5,009","5,018",2,24,165,516,,814,"2,910",578,9,
,Dunedin,"35,448","1,200","1,204",-,12,17,82,,273,772,44,4,
,Edgewater,"17,989",565,567,-,-,5,47,,115,381,17,2,
,Eustis,"15,335",489,489,-,7,13,43,,62,339,25,-,
,Fernandina Beach,"10,544",711,711,-,3,16,46,,138,478,30,-,
,Fort Lauderdale,"155,740","14,309","14,366",22,60,713,776, ,"3,014","7,935","1,789",57,
,Fort Myers,"46,295","5,978","5,983",7,27,415,633,,"1,066","2,791","1,039",5,
,Fort Pierce,"36,817","3,926","3,947",4,29,216,714,,782,"1,904",277,21,
,Fort Walton Beach,"21,782",978,981,1,8,21,66,,162,669,51,3,
,Gainesville,"93,861","7,638","7,649",6,56,239,620,,"1,380","4,761",576,11,
,Greenacres City,"26,149","1,493","1,496",1,17,30,97,,401,812,135,3,
,Gulfport,"11,700",887,889,-,1,36,76,,216,486,72,2,
,Haines City,"12,850","1,081","1,085",-,2,27,41,,160,742,109,4,
,Hallandale,"31,669","2,437","2,443",3,16,134,316,,430,"1,273",265,6,
,Hialeah,"214,159","14,922","14,974",10,49,530,"1,203", ,"2,200","8,132","2,798",52,
,Hialeah Gardens,"17,300",926,928,-,2,11,32,,193,568,120,2,
,Holly Hill,"11,680","1,055","1,057",3,13,44,62,,294,554,85,2,
,Hollywood,"131,728","9,743","9,777",9,35,360,541, ,"1,476","6,027","1,295",34,
,Homestead,"29,453","3,590","3,590",6,27,222,415,,762,"1,925",233,-,
,Jacksonville,"702,462","50,238","50,547",83,459,"1,703","5,020", ,"9,651","28,445","4,877",309,
,Jacksonville Beach,"20,913","1,520","1,527",-,10,47,115,,233,"1,046",69,7,
,Jupiter,"31,375","1,640","1,643",1,5,37,86,,290,"1,082",139,3,
,Key Biscayne,"10,019",170,170,-,-,1,1,,21,140,7,-,
,Kissimmee,"39,047","4,064","4,070",5,21,120,342,,783,"2,469",324,6,
,Lady Lake,"12,867",194,194,-,1,1,17,,48,114,13,-,
,Lake City,"10,897","1,355","1,357",-,7,25,130,,194,934,65,2,
,Lakeland,"75,175","6,798","6,814",2,42,233,312,,"1,260","4,472",477,16,
,Lake Wales,"10,129","1,246","1,246",1,8,44,84,,190,803,116,-,
,Lake Worth,"29,497","3,388","3,394",4,9,165,178,,841,"1,851",340,6,
,Largo,"67,131","3,072","3,084",4,27,65,241,,626,"1,947",162,12,
,Lauderdale Lakes,"28,605","1,488","1,493",3,16,71,184,,286,610,318,5,
,Lauderhill,"51,479","3,082","3,098",-,8,127,338,,638,"1,497",474,16,
,Leesburg,"17,132","1,482","1,487",-,19,59,253,,357,714,80,5,
,Lighthouse Point,"10,846",228,228,-,-,3,7,,35,158,25,-,
,Longwood,"14,187",624,625,-,12,13,30,,121,383,65,1,
,Lynn Haven,"12,769",295,295,-,4,1,21,,51,210,8,-,
,Margate,"51,939","1,800","1,811",-,13,51,164,,269,"1,102",201,11,
,Melbourne,"69,961","5,064","5,086",6,29,143,586,,833,"3,177",290,22,
,Miami Beach,"98,324","14,359","14,376",10,56,561,773,,"2,010","9,254","1,695",17,
,Miami-Dade,"373,450","40,048","40,264",63,113,"3,076","4,609", ,"7,329","19,135","5,723",216,
,Miami Shores,"10,114",974,975,-,3,43,16,,256,555,101,1,
,Miami Springs,"13,592",857,859,-,2,46,35,,160,523,91,2,
,Miramar,"57,964","2,690","2,703",1,20,110,218,,725,"1,301",315,13,
,Naples,"19,658","1,150","1,150",-,2,28,67,,184,810,59,-,
,New Port Richey,"15,221","1,084","1,089",-,6,25,101,,278,640,34,5,
,New Smyrna Beach,"18,405",991,996,1,4,20,83,,210,615,58,5,
,Niceville,"12,130",252,252,-,-,2,31,,59,137,23,-,
,North Lauderdale,"29,839","1,284","1,288",-,10,51,137,,198,719,169,4,
,North Miami,"51,437","4,867","4,879",1,35,304,470,,"1,039","2,142",876,12,
,North Miami Beach,"36,019","2,424","2,433",2,23,151,82,,549,"1,181",436,9,
,North Palm Beach,"12,560",546,546,-,-,8,24,,91,369,54,-,
,Oakland Park,"28,849","2,962","2,964",4,14,123,205,,554,"1,669",393,2,
,Ocala,"47,651","5,499","5,515",2,34,183,519,,916,"3,631",214,16,
,Ocoee,"21,365","1,555","1,560",-,13,29,127,,255,"1,032",99,5,
,Oldsmar,"10,422",511,515,1,3,7,37,,96,340,27,4,
,Opa Locka,"15,579","2,549","2,556",4,7,177,347,,499,"1,234",281,7,
,Orange Park,"10,237",349,349,-,2,13,13,,55,247,19,-,
,Orlando,"183,547","24,995","25,051",19,169,"1,096","2,638", ,"3,683","15,292","2,098",56,
,Ormond Beach,"33,493","1,486","1,486",1,8,34,52,,285,"1,049",57,-,
,Oviedo,"22,452",816,820,-,10,12,50,,183,545,16,4,
,Palatka,"11,034","1,575","1,587",4,11,51,186,,364,909,50,12,
,Palm Bay,"78,500","3,573","3,593",1,49,71,548,,747,"1,979",178,20,
,Palm Beach Gardens,"35,337","2,117","2,121",-,10,34,63,,260,"1,530",220,4,
,Palmetto,"10,744",657,659,1,7,22,26,,163,383,55,2,
,Palm Springs,"10,129",508,510,-,1,20,17,,57,301,112,2,
,Panama City,"39,994","2,515","2,515",4,27,47,123,,380,"1,777",157,-,
,Parkland,"12,510",231,231,-,-,-,-,,137,71,23,-,
,Pembroke Pines,"116,871","4,373","4,399",-,31,73,186, ,686,"2,794",603,26,
,Pensacola,"58,955","3,256","3,262",1,28,102,307,,576,"2,052",190,6,
,Pinellas Park,"44,757","2,984","2,993",-,21,58,198,,533,"1,986",188,9, 
,Plantation,"82,490","5,012","5,026",4,16,118,138,,603,"3,425",708,14,
,Plant City,"27,448","2,536","2,541",-,19,44,257,,354,"1,665",197,5,
,Pompano Beach,"76,977","6,578","6,597",4,43,217,705,,"1,207","3,462",940,19,
,Port Orange,"43,583","1,013","1,013",1,3,17,13,,215,716,48,-,
,Port St. Lucie,"80,390","2,350","2,365",3,27,29,181,,523,"1,494",93,15,
,Punta Gorda,"13,454",328,329,-,1,8,14,,59,226,20,1,
,Riviera Beach,"30,443","4,427","4,458",5,10,219,326,,"1,186","1,664","1,017",31,
,Rockledge,"19,670",667,670,2,7,5,34,,118,457,44,3,
,Royal Palm Beach,"19,421",998,999,-,8,8,59,,322,482,119,1,
,Safety Harbor,"16,357",424,425,-,6,4,35,,93,261,25,1,
,Sanford,"37,435","4,121","4,129",4,34,145,401,,662,"2,317",558,8,
,Sarasota,"51,703","3,711","3,717",3,27,178,381,,685,"2,150",287,6,
,Satellite Beach,"10,261",243,243,-,3,3,8,,29,191,9,-,
,Sebastian,"14,125",565,580,1,3,1,40,,148,353,19,15,
,South Daytona,"13,556",576,578,1,6,17,24,,168,330,30,2,
,South Miami,"10,850","1,102","1,103",-,3,48,81,,142,769,59,1,
,St. Augustine,"12,738","1,087","1,088",-,14,25,72,,131,780,65,1,
,St. Cloud,"15,392","1,015","1,019",1,14,18,68,,180,672,62,4,
,St. Pete Beach,"10,058",695,696,-,5,9,34,,135,488,24,1,
,St. Petersburg,"239,119","21,078","21,206",20,181,"1,112","2,697", ,"3,966","11,036","2,066",128,
,Stuart,"12,547",983,987,-,3,21,74,,187,663,35,4,
,Sunny Isles Beach,"14,053",947,947,1,8,46,56,,186,524,126,-,
,Sunrise,"81,390","5,023","5,032",3,23,116,173,,687,"3,451",570,9,
,Sweetwater,"14,558",336,337,-,-,19,43,,83,123,68,1,
,Tallahassee,"138,417","12,905","12,942",5,142,469,"1,336", ,"2,222","7,808",923,37,
,Tamarac,"53,622","1,427","1,429",1,6,49,56,,211,838,266,2,
,Tampa,"292,941","32,016","32,230",31,233,"2,321","4,018", ,"6,024","13,649","5,740",214,
,Tarpon Springs,"19,265",972,976,2,13,28,147,,230,520,32,4,
,Temple Terrace,"17,945",703,706,-,9,27,14,,117,451,85,3,
,Titusville,"42,077","2,352","2,363",3,16,70,311,,603,"1,214",135,11,
,Venice,"17,918",457,457,-,2,4,22,,45,365,19,-,
,Vero Beach,"16,602","1,099","1,101",-,6,23,55,,175,790,50,2,
,Village of Pinecrest,"18,221",971,971,-,2,27,24,,131,716,71,-,
,Wellington,"31,680","1,107","1,114",-,8,5,65,,281,638,110,7,
,Weston,"26,226",651,652,-,3,4,45,,129,395,75,1,
,West Palm Beach,"77,307","11,913","11,932",13,65,648,628,,"2,026","6,848","1,685",19,
,Wilton Manors,"12,306",886,887,1,3,29,37,,199,518,99,1,
,Winter Garden,"12,026",657,659,3,2,17,83,,131,369,52,2,
,Winter Haven,"26,061","1,854","1,863",1,24,60,67,,377,"1,126",199,9,
,Winter Park,"23,683","1,281","1,282",-,5,46,103,,199,832,96,1,
,Winter Springs,"28,980",693,696,-,2,13,75,,109,459,35,3,
GEORGIA,Albany,"79,027","6,452","6,466",12,34,258,292, ,"1,507","3,990",359,14,
,Alpharetta,"25,305","3,048",,2,11,43,102, ,252,"2,382",256,,
,Americus,"17,210","1,219","1,221",3,11,23,74, ,211,852,45,2,
,Athens-Clarke County,"91,290","6,814",,6,50,160,247, ,"1,214","4,744",393,,
,Atlanta,"411,291","55,477","55,666",143,321,"4,072","6,690", ,"8,571","28,352","7,328",189,
,Bainbridge,"11,150","1,311",,2,9,28,77, ,286,868,41,,
,Brunswick,"15,453","2,026",,1,18,56,158, ,307,"1,404",82,,
,Carrollton,"17,189","1,514", ,2,8,26,112, ,195,"1,105",66,,
,Cartersville,"13,727","1,054", ,-,9,18,62, ,228,658,79,,
,College Park,"20,372","1,915",,-,8,92,79,,386,"1,001",349,,
,Columbus,"185,701","12,345","12,350",16,27,459,486, ,"1,611","8,587","1,159",5,
,Cordele,"10,802","1,036","1,036",4,4,26,130, ,116,724,32,-,
,Covington,"10,248",900,900,1,9,14,54, ,95,654,73,-,
,Dalton,"23,569","2,096",,1,18,52,119, ,366,"1,406",134,,
,Decatur,"17,747","1,176","1,178",-,8,34,45, ,236,767,86,2,
,Douglas,"11,183","1,803","1,803",-,6,17,189, ,221,"1,289",81,-,
,Dublin,"17,522","1,155",,2,16,21,49, ,166,839,62, ,
,Duluth,"18,061",364,,-,-,9,7, ,83,248,17,,
,East Point,"34,313","3,518",,12,36,223,37, ,761,"1,892",557, ,
,Forest Park,"17,324","2,067",,2,8,96,112, ,349,"1,278",222, ,
,Gainesville,"20,280","2,023",,4,17,49,93, ,182,"1,560",118, ,
,Griffin,"21,454","2,414",,3,12,47,248, ,394,"1,534",176,,
,Hinesville,"26,940","1,538",,1,9,36,56, ,307,"1,083",46,,
,Kennesaw,"15,954",242,,1,2,3,9, ,42,152,33,,
,Kingsland,"11,805",629,,2,4,8,57, ,146,388,24,,
,La Grange,"25,591","2,098","2,111",3,8,41,66, ,263,"1,640",77,13,
,Lawrenceville,"20,390",846,846,1,5,15,38, ,130,563,94,-,
,Lilburn,"11,454",419,420,-,1,16,6, ,89,264,43,1,
,Macon,"116,521","12,353","12,422",28,81,405,547, ,"2,471","7,183","1,638",69,
,Marietta,"52,343","3,200",,5,11,115,171, ,583,"1,898",417,,
,Milledgeville,"18,259",862,,2,9,21,71, ,135,586,38,,
,Moultrie,"15,934","1,392","1,400",2,3,37,123, ,225,913,89,8,
,Newnan,"14,295","1,189","1,192",-,1,22,80, ,198,815,73,3,
,Peachtree City,"31,680",300,300,-,1,2,6, ,19,243,29,-,
,Perry,"10,099",401,,1,4,11,26, ,38,294,27,,
,Powder Springs,"11,043",250,250,1,1,3,8, ,65,147,25,-,
,Riverdale,"10,397","1,147",,-,4,20,30, ,101,870,122,,
,Rome,"31,489","3,336",,1,9,65,536, ,433,"2,174",118, ,
,Savannah,"134,190","11,279","11,329",39,62,650,489, ,"1,953","6,861","1,225",50,
,Smyrna,"36,585","2,360",,-,14,91,89, ,296,"1,585",285,,
,Snellville,"16,003",408,,-,-,6,5, ,46,330,21,,
,Statesboro,"21,721","1,382","1,383",2,4,35,51, ,194,"1,053",43,1,
,St. Mary's,"14,087",543,548,2,-,4,31, ,75,413,18,5,
