State,City,Population,Crime Index total,Modified Crime Index total1,Murder      and non-negligent         man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Burglary,Larceny-theft,Motor vehicle theft,Arson,
,Russellville,"25,470","1,565","1,568",-,20,12,60, ,190,"1,198",85,3,
,Searcy,"18,311",973,973,1,4,9,103, ,87,744,25,-,
,Sherwood,"21,073","1,070","1,072",-,3,12,36, ,100,801,118,2,
,Siloam Springs,"10,789",527,528,1,3,3,28, ,81,382,29,1,
,Springdale,"40,495","1,520","1,525",-,14,6,111, ,285,"1,004",100,5,
,Texarkana,"23,815","1,800","1,814",1,19,48,141, ,192,"1,334",65,14,
,Van Buren,"19,376",708,709,-,3,3,34, ,103,533,32,1,
,West Memphis,"26,718","1,497","1,511",4,16,61,140, ,391,725,160,14,
CALIFORNIA,Adelanto,"15,515",361,363,2,2,5,117, ,120,68,47,2,
,Agoura Hills,"21,127",290,290,-,3,5,48, ,64,155,15,-,
,Alameda,"79,848","2,933","2,950",-,12,91,146, ,323,"2,022",339,17,
,Albany,"17,457",736,742,-,1,37,12, ,169,462,55,6,
,Alhambra,"85,356","2,042","2,057",4,3,165,97, ,372,"1,114",287,15,
,Anaheim,"299,477","10,104","10,157",16,85,468,"1,070", ,"1,640","5,452","1,373",53,
,Antioch,"82,621","2,500","2,535",3,14,120,382, ,510,"1,085",386,35,
,Apple Valley,"57,267","2,006","2,020",2,8,60,146, ,531,"1,072",187,14,
,Arcadia,"50,892","1,406","1,416",-,8,63,67, ,234,944,90,10,
,Arcata,"16,401",835,847,-,4,14,21, ,131,629,36,12,
,Arroyo Grande,"15,482",437,443,-,5,5,14, ,72,323,18,6,
,Artesia,"16,160",518,520,2,6,48,62, ,76,214,110,2,
,Arvin,"11,331",452,470,-,-,13,24, ,80,296,39,18,
,Atascadero,"24,997",605,626,-,8,5,66, ,135,358,33,21,
,Atwater,"24,657","1,213","1,217",3,7,24,161, ,444,473,101,4,
,Auburn,"12,567",428,432,-,3,6,39, ,81,273,26,4,
,Avenal,"11,875",211,211,-,1,3,52, ,84,66,5,-,
,Azusa,"43,248","1,222","1,235",1,9,69,80, ,228,634,201,13,
,Bakersfield,"213,365","11,207","11,320",24,27,357,451, ,"2,316","6,870","1,162",113,
,Baldwin Park,"73,007","1,421","1,433",7,20,90,121, ,278,528,377,12,
,Banning,"27,135",919,919,1,12,33,259, ,273,217,124,-,
,Barstow,"23,503","1,238","1,243",-,11,53,110, ,337,618,109,5,
,Beaumont,"11,073",602,602,1,6,18,132, ,188,198,59,-,
,Bell,"35,720",938,939,1,10,111,205, ,212,216,183,1, 
,Bellflower,"64,541","2,526","2,544",8,24,230,239, ,442,"1,010",573,18,
,Bell Gardens,"45,033","1,391","1,399",5,11,144,203, ,286,457,285,8,
,Belmont,"26,605",347,347,-,2,6,17, ,57,232,33,-, 
,Benicia,"27,244",459,467,-,6,17,22, ,149,221,44,8,
,Berkeley,"109,685","8,343","8,401",3,32,391,416, ,"1,197","5,459",845,58,
,Beverly Hills,"32,875","1,408","1,411",1,7,84,65, ,231,943,77,3,
,Blythe,"13,765",653,669,-,1,12,105, ,146,372,17,16,
,Brawley,"23,289",975,981,1,5,30,62, ,262,539,76,6,
,Brea,"36,087","1,460","1,463",-,7,28,63, ,294,943,125,3,
,Brentwood,"17,875",536,539,-,2,8,27, ,105,350,44,3,
,Buena Park,"74,448","1,902","1,941",2,12,99,146, ,321,987,335,39,  
,Burbank,"98,857","2,813","2,821",2,8,95,206, ,362,"1,592",548,8,
,Burlingame,"28,509",907,907,1,2,14,43, ,105,653,89,-,
,Calabasas,"17,985",248,250,-,2,7,43, ,65,112,19,2,
,Calexico,"26,951","1,100","1,100",-,2,51,69, ,288,386,304,-,
,Camarillo,"60,217","1,128","1,147",3,8,18,72, ,230,738,59,19,
,Campbell,"39,185","1,214","1,222",3,16,20,161, ,108,819,87,8,
,Canyon Lake,"12,632",210,211,-,3,3,47, ,54,88,15,1,
,Capitola,"10,736",767,770,-,2,11,51, ,46,649,8,3,
,Carlsbad,"75,827","2,187","2,194",-,17,40,144, ,434,"1,324",228,7,
,Carpinteria,"14,346",199,200,-,5,4,29, ,42,112,7,1, 
,Carson,"88,931","3,391","3,427",9,15,174,535, ,598,"1,435",625,36,
,Cathedral City,"38,189","1,503","1,504",3,22,34,91, ,466,589,298,1,
,Ceres,"32,397","2,124","2,130",-,13,42,114, ,287,"1,448",220,6,
,Cerritos,"54,672","2,583","2,586",-,4,112,96, ,464,"1,343",564,3,
,Chico,"47,602","2,394","2,476",1,29,41,113, ,453,"1,568",189,82,
,Chino,"66,729","2,197","2,234",-,12,78,215, ,404,"1,171",317,37,
,Chino Hills,"45,733",953,971,-,4,16,39, ,243,537,114,18,
,Chowchilla,"10,294",410,416,-,1,8,50, ,141,177,33,6,
,Chula Vista,"162,905","7,009","7,065",10,47,300,667, ,977,"3,541","1,467",56,
,Claremont,"34,252",957,958,-,9,26,38, ,193,635,56,1,
,Clearlake,"12,091",776,800,-,3,19,58, ,274,359,63,24,
,Clovis,"64,899","2,423","2,442",-,19,36,91, ,443,"1,565",269,19,
,Coachella,"22,920",946,957,-,19,24,126, ,250,346,181,11,
,Colton,"45,329","1,961","1,973",6,16,81,90, ,408,969,391,12,
,Commerce,"13,251","1,263","1,278",3,5,66,88, ,149,595,357,15,
,Compton,"93,621","4,864","4,903",54,30,529,889, ,"1,147","1,320",895,39,
,Concord,"119,432","6,566","6,582",2,37,176,421, ,744,"4,555",631,16,
,Corcoran,"17,379",292,295,-,2,8,30, ,94,135,23,3,
,Corona,"114,468","3,638","3,654",4,27,130,134, ,735,"2,087",521,16,
,Coronado,"26,295",561,568,-,2,9,24, ,77,404,45,7,
,Costa Mesa,"103,847","3,608","3,625",4,29,106,180, ,489,"2,420",380,17,
,Covina,"45,144","1,968","1,976",4,9,70,150, ,342,"1,141",252,8,
,Cudahy,"23,802",533,535,1,4,45,123, ,78,177,105,2,
,Culver City,"40,286","1,333","1,333",-,5,122,74, ,222,721,189,-,
,Cupertino,"45,756","1,046","1,051",-,13,29,34, ,223,696,51,5,
,Cypress,"48,590","1,158","1,166",-,12,41,56, ,217,712,120,8,
,Daly City,"100,685","2,528","2,534",7,22,98,131, ,253,"1,624",393,6, 
,Dana Point,"34,958",726,733,-,2,12,37, ,156,474,45,7,
,Danville,"40,843",587,589,-,4,5,6, ,125,415,32,2,
,Davis,"55,202","1,646","1,662",-,16,18,169, ,132,"1,202",109,16,
,Delano,"34,782","1,409","1,529",2,7,25,57, ,295,814,209,120,
,Desert Hot Springs,"15,295","1,198","1,199",3,25,40,202, ,418,432,78,1,
,Diamond Bar,"55,268",931,942,-,6,47,90, ,183,473,132,11,
,Dinuba,"15,130",865,868,1,6,11,93, ,217,451,86,3,
,Dixon,"14,701",370,373,-,4,8,34, ,58,225,41,3,
,Downey,"95,025","3,645","3,672",9,17,228,127, ,681,"1,605",978,27,
,Duarte,"21,788",536,543,1,5,21,93, ,95,257,64,7,
,Dublin,"28,411",693,697,-,3,13,79, ,122,413,63,4,
,East Palo Alto,"25,244","1,133","1,142",1,40,61,250, ,215,411,155,9,
,El Cajon,"95,640","3,855","3,893",3,32,123,415, ,578,"2,023",681,38,
,El Centro,"37,910","2,398","2,405",1,14,66,284, ,839,993,201,7, 
,El Cerrito,"24,396","1,260","1,266",-,4,80,64, ,234,743,135,6,
,El Monte,"113,289","3,324","3,338",8,30,345,605, ,495,"1,281",560,14,
,El Segundo,"15,881",751,751,-,2,25,8, ,105,490,121,-, 
,Encinitas,"60,821","1,390","1,394",-,8,47,127, ,296,731,181,4,
,Escondido,"122,344","4,802","4,833",3,41,153,410, ,616,"2,597",982,31,
,Eureka,"25,975","2,153","2,183",1,18,52,77, ,349,"1,385",271,30,
,Fairfield,"91,170","4,517","4,563",4,25,171,276, ,735,"2,871",435,46,
,Fillmore,"13,376",245,247,-,1,10,37, ,56,132,9,2,
,Folsom,"45,727",891,900,1,10,13,50, ,262,471,84,9,
,Fontana,"111,385","3,561","3,590",9,61,216,517, ,845,"1,134",779,29,
,Foster City,"30,887",451,461,-,4,5,16, ,71,333,22,10,
,Fountain Valley,"57,509","1,697","1,705",1,2,35,76, ,228,"1,175",180,8,
,Fremont,"207,291","5,966","5,983",1,23,115,284, ,993,"3,981",569,17,
,Fresno,"403,966","28,833","29,577",26,160,"1,268","2,554", ,"4,419","15,763","4,643",744,
,Fullerton,"123,741","4,002","4,029",4,23,116,174, ,623,"2,617",445,27,
,Galt,"17,116",552,556,-,4,6,43, ,102,328,69,4,
,Gardena,"54,428","2,613","2,621",4,16,323,262, ,493,"1,068",447,8,
,Garden Grove,"153,480","5,480","5,517",11,26,204,468, ,798,"2,982",991,37,
,Gilroy,"38,284","1,739","1,745",-,7,55,282, ,225,"1,060",110,6,
,Glendale,"187,798","4,990","5,034",3,20,177,329, ,723,"2,995",743,44,
,Glendora,"50,541","1,080","1,093",-,5,40,61, ,211,683,80,13,
,Grand Terrace,"12,404",280,283,-,5,9,10, ,62,155,39,3,
,Greenfield,"10,187",326,326,2,4,20,39, ,95,158,8,-,
,Grover Beach,"12,067",392,393,-,6,5,32, ,65,256,28,1,
,Half Moon Bay,"10,778",224,224,-,-,3,15, ,61,133,12,-,
,Hanford,"37,695","1,789","1,791",-,15,41,83, ,301,"1,146",203,2,
,Hawaiian Gardens,"13,987",411,412,-,4,46,62, ,85,160,54,1, 
,Hawthorne,"74,489","3,564","3,576",8,21,411,668, ,603,"1,269",584,12,
,Hayward,"130,760","5,995","6,044",11,64,308,488, ,798,"3,192","1,134",49,
,Healdsburg,"10,105",368,376,-,2,8,18, ,116,208,16,8,
,Hemet,"53,554","2,579","2,608",4,19,83,268, ,901,"1,012",292,29,
,Hercules,"20,087",453,462,-,2,12,56, ,77,243,63,9,
,Hermosa Beach,"19,052",764,765,-,6,14,53, ,132,488,71,1,
,Hesperia,"63,222","1,810","1,823",1,12,43,119, ,419,"1,000",216,13,
,Highland,"42,648","1,661","1,676",4,17,100,104, ,524,705,207,15,
,Hillsborough,"11,683",72,72,-,-,1,2, ,16,48,5,-,
,Hollister,"28,819","1,228","1,237",1,6,21,246, ,183,720,51,9,
,Huntington Beach,"198,177","4,863","4,892",5,36,111,244, ,"1,055","2,922",490,29,
,Huntington Park,"59,062","2,429","2,441",6,10,354,166, ,305,875,713,12,
,Imperial Beach,"29,170",862,871,3,12,46,112, ,161,395,133,9,
,Indio,"45,683","2,252","2,252",6,20,92,212, ,505,930,487,-,
,Inglewood,"113,253","4,377","4,429",16,39,601,693, ,691,"1,412",925,52,
,Irvine,"138,445","3,374","3,394",2,14,44,108, ,755,"2,150",301,20,
,La Canada-Flintridge,"20,199",303,303,2,-,17,20, ,83,164,17,-,
,Lafayette,"27,536",446,446,-,4,9,8, ,76,320,29,-,
,Laguena Niguel,"54,400",741,752,-,-,13,54, ,159,465,50,11,
,Laguna Beach,"25,443",646,647,-,5,10,33, ,148,420,30,1,
,Laguna Hills,"32,599",820,830,-,4,19,32, ,119,597,49,10,
,La Habra,"55,089","1,434","1,450",4,8,40,104, ,262,876,140,16,
,Lake Elsinore,"28,616","1,246","1,249",4,14,42,206, ,406,473,101,3,
,Lake Forest,"81,094","1,058","1,073",3,10,24,56, ,215,670,80,15,
,Lakewood,"77,339","2,555","2,564",4,23,135,191, ,386,"1,255",561,9,
,La Mesa,"56,806","2,073","2,083",1,12,80,106, ,316,"1,199",359,10,
,La Mirada,"45,161","1,098","1,103",3,10,46,143, ,195,552,149,5,
,Lancaster,"120,254","4,107","4,155",5,41,183,887, ,988,"1,612",391,48,
,La Palma,"16,706",365,365,-,1,17,31, ,75,204,37,-, 
,La Puente,"39,310","1,027","1,037",4,11,69,236, ,152,396,159,10,
,La Quinta,"20,526","1,047","1,048",-,4,18,86, ,383,450,106,1,
,La Verne,"32,824",726,731,-,5,19,53, ,109,462,78,5,
,Lawndale,"29,417",989,995,1,7,118,165, ,167,360,171,6,
,Lemon Grove,"26,420",858,863,-,4,51,78, ,183,382,160,5,
,Lemoore,"17,745",598,602,1,5,13,45, ,132,359,43,4,
,Livermore,"73,343","1,815","1,827",2,13,31,78, ,401,"1,085",205,12,
,Livingston,"10,251",290,306,1,12,5,54, ,80,107,31,16,
,Lodi,"56,996","2,815","2,830",-,15,67,260, ,385,"1,786",302,15,
,Loma Linda,"22,795",619,625,-,2,14,19, ,91,386,107,6,
,Lomita,"20,224",507,511,1,5,25,84, ,123,201,68,4,
,Lompoc,"41,772","1,690","1,713",1,19,50,118, ,296,"1,158",48,23,
,Long Beach,"437,218","18,154","18,372",46,119,"1,566","1,526", ,"3,357","8,179","3,361",218,
,Los Alamitos,"12,961",309,312,-,2,13,28, ,54,187,25,3,
,Los Altos,"28,336",369,369,-,-,10,38, ,78,231,12,-,
,Los Angeles              ,"3,650,138","167,495","169,802",425,"1,288","14,411","30,716", ,"21,521","74,457","24,677","2,307",
,Los Banos,"20,404",603,603,1,9,12,73, ,129,343,36,-,
,Los Gatos,"29,549",724,733,-,-,9,46, ,169,463,37,9,
,Lynwood,"64,288","2,598","2,646",12,21,331,649, ,364,632,589,48,
,Madera,"37,182","2,370","2,371",2,17,120,386, ,423,"1,090",332,1,
,Malibu,"12,740",327,330,-,3,9,33, ,76,177,29,3,
,Manhattan Beach,"34,434","1,236","1,239",-,4,41,37, ,231,834,89,3,
,Manteca,"48,119","1,950","1,979",-,11,32,109, ,289,"1,231",278,29,
,Marina,"17,625",477,480,-,9,21,16, ,111,282,38,3, 
,Martinez,"35,002","1,024","1,026",-,10,10,47, ,180,648,129,2,
,Marysville,"11,964",836,838,-,6,17,70, ,160,471,112,2,
,Maywood,"28,677",587,588,-,5,62,66, ,54,296,104,1,
,Menlo Park,"30,524",885,892,1,7,32,58, ,153,582,52,7,
,Merced,"60,250","4,069","4,120",5,17,120,298, ,754,"2,567",308,51,
,Millbrae,"22,173",371,374,-,3,13,29, ,61,231,34,3,
,Mill Valley,"13,139",331,334,-,2,6,13, ,70,230,10,3,
,Milpitas,"61,628","2,250","2,253",1,23,36,173, ,328,"1,515",174,3,
,Mission Viejo,"96,838","1,328","1,338",-,5,26,87, ,285,850,75,10,
,Modesto,"184,683","10,048","10,240",5,71,290,626, ,"1,851","5,936","1,269",192,
,Monrovia,"38,007","1,025","1,034",-,6,63,102, ,189,566,99,9,
,Montclair,"30,822","1,871","1,879",2,9,74,130, ,248,"1,097",311,8,
,Montebello,"61,417","2,244","2,297",4,13,111,214, ,244,"1,135",523,53,
,Monterey,"31,562","1,441","1,441",-,9,42,163, ,216,958,53,-,
