"year","county_name","state_id","county_population","violent_crime_county","county_state"
2005,"Abbeville","SC",8171,115,"Abbeville SC"
2006,"Abbeville","SC",9427,148,"Abbeville SC"
2007,"Abbeville","SC",9176,105,"Abbeville SC"
2008,"Abbeville","SC",8976,102,"Abbeville SC"
2009,"Abbeville","SC",8958,103,"Abbeville SC"
2010,"Abbeville","SC",8860,66,"Abbeville SC"
2011,"Abbeville","SC",7325,79,"Abbeville SC"
2012,"Abbeville","SC",7233,65,"Abbeville SC"
2013,"Abbeville","SC",6400,40,"Abbeville SC"
2015,"Abbeville","SC",1256,1,"Abbeville SC"
2017,"Abbeville","SC",1300,1,"Abbeville SC"
1999,"Acadia","LA",13564,821,"Acadia LA"
2000,"Acadia","LA",14157,838,"Acadia LA"
2001,"Acadia","LA",13564,821,"Acadia LA"
2003,"Acadia","LA",14031,73,"Acadia LA"
2004,"Acadia","LA",14000,79,"Acadia LA"
2005,"Acadia","LA",4673,12,"Acadia LA"
2006,"Acadia","LA",13138,110,"Acadia LA"
2007,"Acadia","LA",13992,86,"Acadia LA"
2009,"Acadia","LA",13865,88,"Acadia LA"
2010,"Acadia","LA",18542,146,"Acadia LA"
2011,"Acadia","LA",13386,106,"Acadia LA"
2013,"Acadia","LA",12559,48,"Acadia LA"
2014,"Acadia","LA",8048,73,"Acadia LA"
2015,"Acadia","LA",25763,195,"Acadia LA"
2017,"Acadia","LA",25678,310,"Acadia LA"
2005,"Accomack","VA",6500,12,"Accomack VA"
2006,"Accomack","VA",6453,12,"Accomack VA"
2007,"Accomack","VA",6306,10,"Accomack VA"
2008,"Accomack","VA",6970,6,"Accomack VA"
2009,"Accomack","VA",6921,8,"Accomack VA"
2010,"Accomack","VA",6969,8,"Accomack VA"
2011,"Accomack","VA",5106,6,"Accomack VA"
2012,"Accomack","VA",6045,9,"Accomack VA"
2013,"Accomack","VA",5969,2,"Accomack VA"
2014,"Accomack","VA",4706,7,"Accomack VA"
2015,"Accomack","VA",6253,15,"Accomack VA"
2017,"Accomack","VA",5536,14,"Accomack VA"
1999,"Ada","ID",186554,923,"Ada ID"
2000,"Ada","ID",213339,628,"Ada ID"
2001,"Ada","ID",186554,923,"Ada ID"
2003,"Ada","ID",244406,780,"Ada ID"
2004,"Ada","ID",247103,931,"Ada ID"
2005,"Ada","ID",252590,892,"Ada ID"
2006,"Ada","ID",263541,929,"Ada ID"
2007,"Ada","ID",274850,830,"Ada ID"
2008,"Ada","ID",284912,690,"Ada ID"
2009,"Ada","ID",289851,711,"Ada ID"
2010,"Ada","ID",290559,682,"Ada ID"
2011,"Ada","ID",294960,667,"Ada ID"
2012,"Ada","ID",300132,716,"Ada ID"
2013,"Ada","ID",307736,780,"Ada ID"
2014,"Ada","ID",313325,785,"Ada ID"
2015,"Ada","ID",321454,826,"Ada ID"
2017,"Ada","ID",336626,845,"Ada ID"
1999,"Adair","MO",17072,597,"Adair MO"
2000,"Adair","MO",17497,573,"Adair MO"
2001,"Adair","MO",17072,597,"Adair MO"
2003,"Adair","MO",17379,66,"Adair MO"
2004,"Adair","MO",17308,56,"Adair MO"
2005,"Adair","KY",4204,3,"Adair KY"
2005,"Adair","MO",17192,74,"Adair MO"
2005,"Adair","OK",1640,23,"Adair OK"
2006,"Adair","KY",4207,4,"Adair KY"
2006,"Adair","MO",17110,103,"Adair MO"
2006,"Adair","OK",5170,23,"Adair OK"
2007,"Adair","KY",4195,7,"Adair KY"
2007,"Adair","MO",16934,107,"Adair MO"
2007,"Adair","OK",1687,12,"Adair OK"
2008,"Adair","KY",4247,7,"Adair KY"
2008,"Adair","OK",5123,22,"Adair OK"
2009,"Adair","MO",17376,56,"Adair MO"
2010,"Adair","KY",4644,1,"Adair KY"
2010,"Adair","MO",17406,90,"Adair MO"
2010,"Adair","OK",5188,14,"Adair OK"
2011,"Adair","KY",4483,3,"Adair KY"
2011,"Adair","MO",17569,119,"Adair MO"
2011,"Adair","OK",5648,13,"Adair OK"
2012,"Adair","KY",4468,4,"Adair KY"
2012,"Adair","MO",17502,50,"Adair MO"
2012,"Adair","OK",5606,13,"Adair OK"
2013,"Adair","KY",4490,5,"Adair KY"
2013,"Adair","MO",17529,43,"Adair MO"
2013,"Adair","OK",5574,16,"Adair OK"
2014,"Adair","KY",4526,3,"Adair KY"
2014,"Adair","MO",17594,66,"Adair MO"
2014,"Adair","OK",5606,16,"Adair OK"
2015,"Adair","KY",4928,2,"Adair KY"
2015,"Adair","MO",17662,52,"Adair MO"
2015,"Adair","OK",5591,21,"Adair OK"
2017,"Adair","KY",4940,4,"Adair KY"
2017,"Adair","MO",17520,44,"Adair MO"
2017,"Adair","OK",5933,17,"Adair OK"
1999,"Adams","CO",489490,572,"Adams CO"
1999,"Adams","MS",18387,0,"Adams MS"
1999,"Adams","NE",21399,943,"Adams NE"
2000,"Adams","CO",415133,926,"Adams CO"
2000,"Adams","MS",18676,0,"Adams MS"
2000,"Adams","NE",21840,0,"Adams NE"
2001,"Adams","CO",489490,572,"Adams CO"
2001,"Adams","MS",18387,0,"Adams MS"
2001,"Adams","NE",21399,943,"Adams NE"
2003,"Adams","CO",453741,716,"Adams CO"
2003,"Adams","MS",17923,57,"Adams MS"
2003,"Adams","NE",24048,31,"Adams NE"
2004,"Adams","CO",507840,567,"Adams CO"
2004,"Adams","MS",17754,41,"Adams MS"
2004,"Adams","NE",23643,55,"Adams NE"
2005,"Adams","CO",608700,1088,"Adams CO"
2005,"Adams","IN",13749,9,"Adams IN"
2005,"Adams","MS",17380,34,"Adams MS"
2005,"Adams","NE",23559,50,"Adams NE"
2005,"Adams","OH",2085,3,"Adams OH"
2005,"Adams","PA",19950,46,"Adams PA"
2005,"Adams","WA",7919,22,"Adams WA"
2006,"Adams","CO",625930,1069,"Adams CO"
2006,"Adams","IN",13795,18,"Adams IN"
2006,"Adams","MS",16905,47,"Adams MS"
2006,"Adams","NE",25575,48,"Adams NE"
2006,"Adams","OH",2085,7,"Adams OH"
2006,"Adams","PA",17546,66,"Adams PA"
2006,"Adams","WA",8079,17,"Adams WA"
2007,"Adams","CO",645817,990,"Adams CO"
2007,"Adams","IN",13615,6,"Adams IN"
2007,"Adams","MS",16930,57,"Adams MS"
2007,"Adams","NE",25250,51,"Adams NE"
2007,"Adams","PA",16389,71,"Adams PA"
2007,"Adams","WA",8071,25,"Adams WA"
2008,"Adams","CO",659966,1080,"Adams CO"
2008,"Adams","IN",13727,8,"Adams IN"
2008,"Adams","MS",16433,52,"Adams MS"
2008,"Adams","NE",25428,48,"Adams NE"
2008,"Adams","OH",7030,10,"Adams OH"
2008,"Adams","PA",22261,42,"Adams PA"
2008,"Adams","WA",8149,30,"Adams WA"
2008,"Adams","WI",1791,2,"Adams WI"
2009,"Adams","CO",673362,914,"Adams CO"
2009,"Adams","IN",13965,8,"Adams IN"
2009,"Adams","MS",16209,47,"Adams MS"
2009,"Adams","NE",25476,52,"Adams NE"
2009,"Adams","OH",5201,11,"Adams OH"
2009,"Adams","PA",20865,60,"Adams PA"
2009,"Adams","WA",8398,33,"Adams WA"
2009,"Adams","WI",1734,5,"Adams WI"
2010,"Adams","CO",558384,559,"Adams CO"
2010,"Adams","IN",14133,8,"Adams IN"
2010,"Adams","MS",15841,57,"Adams MS"
2010,"Adams","NE",25705,33,"Adams NE"
2010,"Adams","OH",3076,3,"Adams OH"
2010,"Adams","PA",22558,52,"Adams PA"
2010,"Adams","WA",8566,33,"Adams WA"
2011,"Adams","CO",567427,642,"Adams CO"
2011,"Adams","IL",40755,193,"Adams IL"
2011,"Adams","IN",13472,13,"Adams IN"
2011,"Adams","MS",15852,65,"Adams MS"
2011,"Adams","NE",25129,47,"Adams NE"
2011,"Adams","OH",1783,3,"Adams OH"
2011,"Adams","PA",12539,40,"Adams PA"
2011,"Adams","WA",9179,30,"Adams WA"
2011,"Adams","WI",1976,3,"Adams WI"
2012,"Adams","CO",542983,637,"Adams CO"
2012,"Adams","IL",41394,188,"Adams IL"
2012,"Adams","IN",13441,8,"Adams IN"
2012,"Adams","MS",15706,58,"Adams MS"
2012,"Adams","NE",24961,57,"Adams NE"
2012,"Adams","OH",1776,1,"Adams OH"
2012,"Adams","PA",22370,53,"Adams PA"
2012,"Adams","WA",9270,24,"Adams WA"
2012,"Adams","WI",1957,3,"Adams WI"
2013,"Adams","CO",677678,851,"Adams CO"
2013,"Adams","IL",40841,188,"Adams IL"
2013,"Adams","IN",13309,11,"Adams IN"
2013,"Adams","NE",25012,54,"Adams NE"
2013,"Adams","PA",18449,38,"Adams PA"
2013,"Adams","WA",9256,48,"Adams WA"
2013,"Adams","WI",1924,7,"Adams WI"
2014,"Adams","CO",729434,1092,"Adams CO"
2014,"Adams","IL",40972,190,"Adams IL"
2014,"Adams","IN",13454,7,"Adams IN"
2014,"Adams","MS",15446,64,"Adams MS"
2014,"Adams","NE",25070,73,"Adams NE"
2014,"Adams","OH",4225,7,"Adams OH"
2014,"Adams","PA",24112,46,"Adams PA"
2014,"Adams","WA",9374,39,"Adams WA"
2015,"Adams","CO",603855,743,"Adams CO"
2015,"Adams","IL",40834,205,"Adams IL"
2015,"Adams","IN",13483,17,"Adams IN"
2015,"Adams","MS",15142,48,"Adams MS"
2015,"Adams","NE",24849,62,"Adams NE"
2015,"Adams","OH",5159,14,"Adams OH"
2015,"Adams","PA",24750,37,"Adams PA"
2015,"Adams","WA",9456,22,"Adams WA"
2015,"Adams","WI",1883,5,"Adams WI"
2017,"Adams","CO",630885,1006,"Adams CO"
2017,"Adams","IL",40506,233,"Adams IL"
2017,"Adams","IN",9541,10,"Adams IN"
2017,"Adams","OH",3168,6,"Adams OH"
2017,"Adams","PA",24273,47,"Adams PA"
2017,"Adams","WA",9842,15,"Adams WA"
2017,"Adams","WI",1878,15,"Adams WI"
2005,"Addison","VT",2790,1,"Addison VT"
2006,"Addison","VT",6567,1,"Addison VT"
2007,"Addison","VT",10941,5,"Addison VT"
2008,"Addison","VT",10899,11,"Addison VT"
2009,"Addison","VT",14675,15,"Addison VT"
2010,"Addison","VT",14798,21,"Addison VT"
2011,"Addison","VT",11096,10,"Addison VT"
2012,"Addison","VT",14939,15,"Addison VT"
2013,"Addison","VT",6451,5,"Addison VT"
2015,"Addison","VT",15080,17,"Addison VT"
2017,"Addison","VT",15182,13,"Addison VT"
2003,"Aiken","SC",44547,126,"Aiken SC"
2004,"Aiken","SC",45420,130,"Aiken SC"
2005,"Aiken","SC",55119,161,"Aiken SC"
2006,"Aiken","SC",52537,222,"Aiken SC"
2007,"Aiken","SC",57390,246,"Aiken SC"
2008,"Aiken","SC",57651,261,"Aiken SC"
2009,"Aiken","SC",58728,259,"Aiken SC"
2010,"Aiken","SC",58624,198,"Aiken SC"
2011,"Aiken","SC",58771,176,"Aiken SC"
2012,"Aiken","SC",59274,192,"Aiken SC"
2013,"Aiken","SC",59788,157,"Aiken SC"
2014,"Aiken","SC",58586,155,"Aiken SC"
2015,"Aiken","SC",60438,234,"Aiken SC"
2017,"Aiken","SC",30395,74,"Aiken SC"
2015,"Aitkin","MN",2660,6,"Aitkin MN"
2017,"Aitkin","MN",2925,1,"Aitkin MN"
1999,"Alachua","FL",93861,0,"Alachua FL"
2000,"Alachua","FL",97611,0,"Alachua FL"
2001,"Alachua","FL",93861,0,"Alachua FL"
2003,"Alachua","FL",96919,0,"Alachua FL"
2004,"Alachua","FL",111571,896,"Alachua FL"
2005,"Alachua","FL",119293,1029,"Alachua FL"
2006,"Alachua","FL",122709,97,"Alachua FL"
2007,"Alachua","FL",121382,78,"Alachua FL"
2008,"Alachua","FL",127163,66,"Alachua FL"
2009,"Alachua","FL",129630,82,"Alachua FL"
2010,"Alachua","FL",131412,971,"Alachua FL"
2011,"Alachua","FL",141683,974,"Alachua FL"
2012,"Alachua","FL",142802,932,"Alachua FL"
2013,"Alachua","FL",142497,880,"Alachua FL"
2014,"Alachua","FL",143223,864,"Alachua FL"
2015,"Alachua","FL",144852,988,"Alachua FL"
2017,"Alachua","FL",148860,1006,"Alachua FL"
1999,"Alamance","NC",53060,773,"Alamance NC"
2000,"Alamance","NC",44366,0,"Alamance NC"
2001,"Alamance","NC",53060,773,"Alamance NC"
2003,"Alamance","NC",59878,327,"Alamance NC"
2004,"Alamance","NC",60502,377,"Alamance NC"
2005,"Alamance","NC",68334,522,"Alamance NC"
2006,"Alamance","NC",79137,619,"Alamance NC"
2007,"Alamance","NC",79692,549,"Alamance NC"
2008,"Alamance","NC",82121,525,"Alamance NC"
2009,"Alamance","NC",73216,496,"Alamance NC"
2010,"Alamance","NC",76284,473,"Alamance NC"
2011,"Alamance","NC",88331,559,"Alamance NC"
2012,"Alamance","NC",89572,570,"Alamance NC"
2013,"Alamance","NC",90771,493,"Alamance NC"
2014,"Alamance","NC",91227,459,"Alamance NC"
2015,"Alamance","NC",82693,498,"Alamance NC"
1999,"Alameda","CA",1278447,1608,"Alameda CA"
2000,"Alameda","CA",1302404,1481,"Alameda CA"
2001,"Alameda","CA",1278447,1608,"Alameda CA"
2003,"Alameda","CA",1341453,3713,"Alameda CA"
2004,"Alameda","CA",1332800,3276,"Alameda CA"
2005,"Alameda","CA",1329078,3496,"Alameda CA"
2006,"Alameda","CA",1327279,4015,"Alameda CA"
2007,"Alameda","CA",1325704,4026,"Alameda CA"
2008,"Alameda","CA",1333256,3942,"Alameda CA"
2009,"Alameda","CA",1343577,3561,"Alameda CA"
2010,"Alameda","CA",1359950,3343,"Alameda CA"
2011,"Alameda","CA",1385098,3158,"Alameda CA"
2012,"Alameda","CA",1399620,3064,"Alameda CA"
2013,"Alameda","CA",1423256,2898,"Alameda CA"
2014,"Alameda","CA",1306123,2234,"Alameda CA"
2015,"Alameda","CA",1474579,2782,"Alameda CA"
2017,"Alameda","CA",1519680,3331,"Alameda CA"
2005,"Alamosa","CO",8663,83,"Alamosa CO"
2006,"Alamosa","CO",8846,62,"Alamosa CO"
2007,"Alamosa","CO",8714,57,"Alamosa CO"
2008,"Alamosa","CO",8599,60,"Alamosa CO"
2009,"Alamosa","CO",8781,32,"Alamosa CO"
2010,"Alamosa","CO",8660,64,"Alamosa CO"
2011,"Alamosa","CO",8933,43,"Alamosa CO"
2017,"Alamosa","CO",10025,46,"Alamosa CO"
1999,"Albany","NY",121122,773,"Albany NY"
1999,"Albany","WY",24967,811,"Albany WY"
2000,"Albany","NY",125553,706,"Albany NY"
2000,"Albany","WY",25641,822,"Albany WY"
2001,"Albany","NY",121122,773,"Albany NY"
2001,"Albany","WY",24967,811,"Albany WY"
2003,"Albany","NY",119388,79,"Albany NY"
2003,"Albany","WY",27022,51,"Albany WY"
2004,"Albany","NY",119503,91,"Albany NY"
2004,"Albany","WY",27240,27,"Albany WY"
2005,"Albany","NY",119600,101,"Albany NY"
2005,"Albany","WY",26585,26,"Albany WY"
2006,"Albany","NY",118813,81,"Albany NY"
2006,"Albany","WY",26342,30,"Albany WY"
2007,"Albany","NY",118609,105,"Albany NY"
2007,"Albany","WY",25504,18,"Albany WY"
2008,"Albany","NY",118972,93,"Albany NY"
2008,"Albany","WY",27260,29,"Albany WY"
2009,"Albany","NY",118136,91,"Albany NY"
2009,"Albany","WY",27730,26,"Albany WY"
2010,"Albany","NY",116917,1044,"Albany NY"
2010,"Albany","WY",29742,42,"Albany WY"
2011,"Albany","NY",124837,1000,"Albany NY"
2011,"Albany","WY",31064,39,"Albany WY"
2012,"Albany","WY",31767,34,"Albany WY"
2013,"Albany","NY",124380,843,"Albany NY"
2013,"Albany","WY",31940,37,"Albany WY"
2014,"Albany","WY",32037,48,"Albany WY"
2015,"Albany","NY",125228,856,"Albany NY"
2015,"Albany","WY",32375,43,"Albany WY"
2017,"Albany","NY",125281,959,"Albany NY"
2017,"Albany","WY",32632,30,"Albany WY"
1999,"Alcorn","MS",12277,777,"Alcorn MS"
2000,"Alcorn","MS",14249,883,"Alcorn MS"
2001,"Alcorn","MS",12277,777,"Alcorn MS"
2004,"Alcorn","MS",14189,60,"Alcorn MS"
2006,"Alcorn","MS",14205,64,"Alcorn MS"
2005,"Aleutians West","AK",4379,15,"Aleutians West AK"
2006,"Aleutians West","AK",4389,11,"Aleutians West AK"
2007,"Aleutians West","AK",4155,15,"Aleutians West AK"
2008,"Aleutians West","AK",3789,14,"Aleutians West AK"
2009,"Aleutians West","AK",3462,12,"Aleutians West AK"
2010,"Aleutians West","AK",3539,9,"Aleutians West AK"
2011,"Aleutians West","AK",4453,17,"Aleutians West AK"
2012,"Aleutians West","AK",4385,13,"Aleutians West AK"
2013,"Aleutians West","AK",4340,15,"Aleutians West AK"
2014,"Aleutians West","AK",4308,10,"Aleutians West AK"
2015,"Aleutians West","AK",4554,10,"Aleutians West AK"
2017,"Aleutians West","AK",4449,15,"Aleutians West AK"
2006,"Alexander","NC",1892,10,"Alexander NC"
2007,"Alexander","NC",1828,8,"Alexander NC"
2008,"Alexander","NC",1828,9,"Alexander NC"
2009,"Alexander","NC",1858,8,"Alexander NC"
2010,"Alexander","NC",1815,3,"Alexander NC"
2011,"Alexander","IL",2840,111,"Alexander IL"
2011,"Alexander","NC",2125,3,"Alexander NC"
2012,"Alexander","IL",2760,108,"Alexander IL"
2012,"Alexander","NC",2114,5,"Alexander NC"
2013,"Alexander","IL",2608,120,"Alexander IL"
2013,"Alexander","NC",2067,4,"Alexander NC"
2014,"Alexander","IL",2580,91,"Alexander IL"
2014,"Alexander","NC",2058,3,"Alexander NC"
2015,"Alexander","IL",2519,96,"Alexander IL"
2015,"Alexander","NC",2087,2,"Alexander NC"
1999,"Alexandria (city)","VA",119721,0,"Alexandria (city) VA"
2001,"Alexandria (city)","VA",119721,0,"Alexandria (city) VA"
2003,"Alexandria (city)","VA",132468,405,"Alexandria (city) VA"
2004,"Alexandria (city)","VA",130206,386,"Alexandria (city) VA"
2005,"Alexandria (city)","VA",130056,462,"Alexandria (city) VA"
2006,"Alexandria (city)","VA",136686,448,"Alexandria (city) VA"
2007,"Alexandria (city)","VA",137812,370,"Alexandria (city) VA"
2008,"Alexandria (city)","VA",140891,324,"Alexandria (city) VA"
2009,"Alexandria (city)","VA",146145,287,"Alexandria (city) VA"
2010,"Alexandria (city)","VA",152801,276,"Alexandria (city) VA"
2011,"Alexandria (city)","VA",141638,252,"Alexandria (city) VA"
2012,"Alexandria (city)","VA",145892,243,"Alexandria (city) VA"
2013,"Alexandria (city)","VA",148519,258,"Alexandria (city) VA"
2014,"Alexandria (city)","VA",151065,276,"Alexandria (city) VA"
2015,"Alexandria (city)","VA",152710,312,"Alexandria (city) VA"
2017,"Alexandria (city)","VA",158256,262,"Alexandria (city) VA"
2005,"Alfalfa","OK",1525,0,"Alfalfa OK"
2006,"Alfalfa","OK",1498,4,"Alfalfa OK"
2007,"Alfalfa","OK",1445,0,"Alfalfa OK"
2008,"Alfalfa","OK",1415,1,"Alfalfa OK"
2010,"Alfalfa","OK",1376,4,"Alfalfa OK"
2011,"Alfalfa","OK",1514,1,"Alfalfa OK"
2012,"Alfalfa","OK",1513,2,"Alfalfa OK"
2013,"Alfalfa","OK",1501,4,"Alfalfa OK"
2014,"Alfalfa","OK",1575,6,"Alfalfa OK"
2017,"Alfalfa","OK",1553,5,"Alfalfa OK"
2005,"Alger","MI",2444,2,"Alger MI"
2006,"Alger","MI",2380,0,"Alger MI"
2007,"Alger","MI",2350,1,"Alger MI"
2010,"Alger","MI",2280,3,"Alger MI"
2011,"Alger","MI",2353,2,"Alger MI"
2012,"Alger","MI",2331,3,"Alger MI"
2013,"Alger","MI",2325,2,"Alger MI"
2014,"Alger","MI",2324,0,"Alger MI"
2015,"Alger","MI",2301,3,"Alger MI"
2017,"Alger","MI",2232,3,"Alger MI"
2013,"Allamakee","IA",3861,1,"Allamakee IA"
2014,"Allamakee","IA",3858,0,"Allamakee IA"
2015,"Allamakee","IA",3766,3,"Allamakee IA"
2005,"Allegan","MI",19222,94,"Allegan MI"
2006,"Allegan","MI",19036,100,"Allegan MI"
2007,"Allegan","MI",18930,98,"Allegan MI"
2008,"Allegan","MI",10839,74,"Allegan MI"
2010,"Allegan","MI",12333,85,"Allegan MI"
2011,"Allegan","MI",12748,19,"Allegan MI"
2012,"Allegan","MI",12749,26,"Allegan MI"
2013,"Allegan","MI",13413,35,"Allegan MI"
2014,"Allegan","MI",16905,50,"Allegan MI"
2015,"Allegan","MI",19071,39,"Allegan MI"
2017,"Allegan","MI",19154,41,"Allegan MI"
1999,"Allegany","MD",21675,0,"Allegany MD"
2000,"Allegany","MD",23161,0,"Allegany MD"
2001,"Allegany","MD",21675,0,"Allegany MD"
2003,"Allegany","MD",21278,164,"Allegany MD"
2004,"Allegany","MD",21019,212,"Allegany MD"
2005,"Allegany","MD",32646,192,"Allegany MD"
2006,"Allegany","MD",32221,216,"Allegany MD"
2007,"Allegany","MD",31645,200,"Allegany MD"
2008,"Allegany","MD",31469,185,"Allegany MD"
2009,"Allegany","MD",31159,219,"Allegany MD"
2010,"Allegany","MD",29473,215,"Allegany MD"
2011,"Allegany","MD",31436,167,"Allegany MD"
2012,"Allegany","MD",31273,181,"Allegany MD"
2013,"Allegany","MD",30463,179,"Allegany MD"
2014,"Allegany","MD",30212,163,"Allegany MD"
2015,"Allegany","MD",29907,153,"Allegany MD"
2017,"Allegany","MD",29652,160,"Allegany MD"
2005,"Alleghany","NC",1824,1,"Alleghany NC"
2005,"Alleghany","VA",4726,8,"Alleghany VA"
2006,"Alleghany","NC",1833,1,"Alleghany NC"
2006,"Alleghany","VA",4118,5,"Alleghany VA"
2007,"Alleghany","NC",1767,2,"Alleghany NC"
2007,"Alleghany","VA",4008,6,"Alleghany VA"
2008,"Alleghany","NC",1778,3,"Alleghany NC"
2008,"Alleghany","VA",3946,6,"Alleghany VA"
2009,"Alleghany","NC",1770,4,"Alleghany NC"
2009,"Alleghany","VA",3895,8,"Alleghany VA"
2010,"Alleghany","NC",1760,7,"Alleghany NC"
2010,"Alleghany","VA",3907,7,"Alleghany VA"
2011,"Alleghany","NC",1792,3,"Alleghany NC"
2011,"Alleghany","VA",3930,8,"Alleghany VA"
2012,"Alleghany","VA",3909,6,"Alleghany VA"
2013,"Alleghany","NC",1724,9,"Alleghany NC"
2013,"Alleghany","VA",3876,8,"Alleghany VA"
2015,"Alleghany","VA",3750,12,"Alleghany VA"
2017,"Alleghany","VA",3689,9,"Alleghany VA"
1999,"Allegheny","PA",491505,2280,"Allegheny PA"
2000,"Allegheny","PA",471080,2569,"Allegheny PA"
2001,"Allegheny","PA",491505,2280,"Allegheny PA"
2003,"Allegheny","PA",476415,391,"Allegheny PA"
2004,"Allegheny","PA",433731,154,"Allegheny PA"
2005,"Allegheny","PA",645509,1147,"Allegheny PA"
2006,"Allegheny","PA",632126,1016,"Allegheny PA"
2007,"Allegheny","PA",647542,1422,"Allegheny PA"
2008,"Allegheny","PA",684219,1694,"Allegheny PA"
2009,"Allegheny","PA",685320,1626,"Allegheny PA"
2010,"Allegheny","PA",703172,1661,"Allegheny PA"
2011,"Allegheny","PA",653479,1230,"Allegheny PA"
2012,"Allegheny","PA",674532,1154,"Allegheny PA"
2013,"Allegheny","PA",644847,1350,"Allegheny PA"
2014,"Allegheny","PA",710202,1561,"Allegheny PA"
2015,"Allegheny","PA",690149,1364,"Allegheny PA"
2017,"Allegheny","PA",727371,1564,"Allegheny PA"
1999,"Allen","IN",201003,464,"Allen IN"
1999,"Allen","OH",42560,0,"Allen OH"
2000,"Allen","IN",216129,425,"Allen IN"
2000,"Allen","OH",43000,0,"Allen OH"
2001,"Allen","IN",201003,464,"Allen IN"
2001,"Allen","OH",42560,0,"Allen OH"
2003,"Allen","IN",224887,793,"Allen IN"
2003,"Allen","OH",40872,423,"Allen OH"
2004,"Allen","IN",220980,657,"Allen IN"
2004,"Allen","OH",40631,465,"Allen OH"
2005,"Allen","IN",220561,732,"Allen IN"
2005,"Allen","KS",6103,43,"Allen KS"
2005,"Allen","KY",4498,4,"Allen KY"
2005,"Allen","LA",2131,21,"Allen LA"
2005,"Allen","OH",41569,455,"Allen OH"
2006,"Allen","KS",6595,38,"Allen KS"
2006,"Allen","KY",4560,1,"Allen KY"
2006,"Allen","OH",51713,388,"Allen OH"
2007,"Allen","IN",248423,762,"Allen IN"
2007,"Allen","KS",5916,32,"Allen KS"
2007,"Allen","KY",4567,2,"Allen KY"
2007,"Allen","LA",2148,31,"Allen LA"
2007,"Allen","OH",54474,372,"Allen OH"
2008,"Allen","IN",264929,829,"Allen IN"
2008,"Allen","KS",6951,32,"Allen KS"
2008,"Allen","KY",4573,5,"Allen KY"
2008,"Allen","OH",52249,508,"Allen OH"
2009,"Allen","IN",265313,899,"Allen IN"
2009,"Allen","KS",6245,22,"Allen KS"
2009,"Allen","OH",52139,480,"Allen OH"
2010,"Allen","IN",13914,24,"Allen IN"
2010,"Allen","KS",8037,22,"Allen KS"
2010,"Allen","KY",4558,0,"Allen KY"
2010,"Allen","LA",2403,11,"Allen LA"
2010,"Allen","OH",53577,349,"Allen OH"
2011,"Allen","IN",269857,810,"Allen IN"
2011,"Allen","KS",6302,29,"Allen KS"
2011,"Allen","LA",2500,8,"Allen LA"
2011,"Allen","OH",57893,415,"Allen OH"
2012,"Allen","IN",271593,963,"Allen IN"
2012,"Allen","KS",6276,28,"Allen KS"
2012,"Allen","KY",4275,1,"Allen KY"
2012,"Allen","LA",2491,6,"Allen LA"
2012,"Allen","OH",49886,476,"Allen OH"
2013,"Allen","IN",270395,973,"Allen IN"
2013,"Allen","KS",5697,24,"Allen KS"
2013,"Allen","KY",4310,4,"Allen KY"
2013,"Allen","LA",2426,13,"Allen LA"
2013,"Allen","OH",51509,369,"Allen OH"
2014,"Allen","IN",257172,816,"Allen IN"
2014,"Allen","KS",6128,13,"Allen KS"
2014,"Allen","KY",4360,3,"Allen KY"
2014,"Allen","OH",51743,363,"Allen OH"
2015,"Allen","IN",259712,984,"Allen IN"
2015,"Allen","KS",6037,26,"Allen KS"
2015,"Allen","KY",4373,6,"Allen KY"
2015,"Allen","LA",2446,6,"Allen LA"
2015,"Allen","OH",51556,355,"Allen OH"
2017,"Allen","IN",281740,990,"Allen IN"
2017,"Allen","KS",5924,33,"Allen KS"
2017,"Allen","KY",4446,9,"Allen KY"
2017,"Allen","LA",2430,6,"Allen LA"
2017,"Allen","OH",41377,276,"Allen OH"
2005,"Allendale","SC",7251,74,"Allendale SC"
2006,"Allendale","SC",7185,80,"Allendale SC"
2007,"Allendale","SC",6948,105,"Allendale SC"
2008,"Allendale","SC",6758,63,"Allendale SC"
2009,"Allendale","SC",6771,104,"Allendale SC"
2010,"Allendale","SC",6591,108,"Allendale SC"
2011,"Allendale","SC",5572,94,"Allendale SC"
2012,"Allendale","SC",5416,35,"Allendale SC"
2013,"Allendale","SC",3272,49,"Allendale SC"
2014,"Allendale","SC",3218,31,"Allendale SC"
2017,"Allendale","SC",2983,37,"Allendale SC"
1999,"Alpena","MI",11636,337,"Alpena MI"
2000,"Alpena","MI",11661,435,"Alpena MI"
2001,"Alpena","MI",11636,337,"Alpena MI"
2003,"Alpena","MI",11104,35,"Alpena MI"
2004,"Alpena","MI",10986,30,"Alpena MI"
2005,"Alpena","MI",10948,51,"Alpena MI"
2006,"Alpena","MI",10765,45,"Alpena MI"
2008,"Alpena","MI",10395,43,"Alpena MI"
2010,"Alpena","MI",10184,22,"Alpena MI"
2011,"Alpena","MI",10475,36,"Alpena MI"
2013,"Alpena","MI",10299,46,"Alpena MI"
2014,"Alpena","MI",10253,27,"Alpena MI"
2015,"Alpena","MI",10193,29,"Alpena MI"
2017,"Alpena","MI",10066,48,"Alpena MI"
2005,"Alpine","CA",4514,1,"Alpine CA"
2006,"Alpine","CA",4555,2,"Alpine CA"
2007,"Alpine","CA",4567,1,"Alpine CA"
